,BLOCKLOT,REC:PROG,REC:Neighborhood,REC:Address
96,4123032,1,COLDSTREAM HOMESTEAD MONTEBELL,2622 HARFORD ROAD
97,4613010,1,CENTRAL PARK HEIGHTS,3033 W GARRISON AVE
98,4526A008,1,ARLINGTON,5412 DENMORE AVE
99,4613011,1,CENTRAL PARK HEIGHTS,3031 W GARRISON AV
100,3975001,1,PEN LUCY,800 CATOR AVE
101,2736005,1,CENTRAL FOREST PARK,4001 MAINE AVE
102,5349001,1,LAURAVILLE,2300 E COLD SPRING LANE
103,6042N003,1,FRANKFORD,4810 FRANKFORD AVE
104,4178E061,1,BELAIR-EDISON,3208 ELMLEY AVE
105,1691098,1,MCELDERRY PARK,225 N ROSE ST
106,4070A021,1,BETTER WAVERLY,2637 GREENMOUNT AVE
107,5214022,1,WILSON PARK,4727 OLD YORK ROAD
108,4062010,1,BETTER WAVERLY,2541 GREENMOUNT AVE
109,2847019,1,GARWYN OAKS,2901 CHELSEA TERR
110,1538015,1,BEREA,1217 N MILTON AV
111,3065014,1,HANLON-LONGWOOD,3400 ALTO ROAD
112,1569004,1,MIDDLE EAST,2107 E CHASE ST
113,1569003,1,MIDDLE EAST,2105 E CHASE ST
114,3418A034,1,RESERVOIR HILL,2509 MCCULLOH ST
115,5853002,1,WALTHERSON,4027 RIDGECROFT ROAD
116,4053036,1,WAVERLY,726 E 33RD ST
117,3836A026,1,HARWOOD,400 E LORRAINE AVE
118,3639023,1,REMINGTON,319 W 27TH ST
119,1138055,1,OLIVER,1406 N BROADWAY 
120,1138052,1,OLIVER,1412 N BROADWAY 
121,1606064,1,MIDDLE EAST,2212 E MADISON ST
122,1127041,1,OLIVER,1536 N BROADWAY 
123,3061B001,1,HANLON-LONGWOOD,3200 PIEDMONT AVE
124,2838014,1,GARWYN OAKS,2712 ELSINORE AVE
125,3238009,1,PARKVIEW/WOODBROOK,3502 WOODBROOK AVE
126,3238008,1,PARKVIEW/WOODBROOK,3500 WOODBROOK AVE
127,3238010,1,PARKVIEW/WOODBROOK,3504 WOODBROOK AVE
128,3237001,1,PARKVIEW/WOODBROOK,3501 WOODBROOK AVE
129,2110008,1,MILLHILL,2543 ASHTON ST
130,2475H027,1,FRANKLINTOWN ROAD,1002 N FRANKLINTOWN ROAD
131,2475H029,1,FRANKLINTOWN ROAD,1006 N FRANKLINTOWN ROAD
132,0116057,1,HARLEM PARK,908 EDMONDSON AVE
133,2145A035,1,MILLHILL,301 MILLINGTON AVE
134,7470J005,1,LAKELAND,2631 HOLLINS FERRY ROAD
135,4013A036,1,EAST BALTIMORE MIDWAY,2023 CECIL AV
136,4022022,1,EAST BALTIMORE MIDWAY,2143 HOMEWOOD AV
137,4022020,1,EAST BALTIMORE MIDWAY,2139 HOMEWOOD AV
138,4013A001,1,EAST BALTIMORE MIDWAY,1000 E 20TH ST
139,4003036,1,EAST BALTIMORE MIDWAY,1915 OAK HILL AV
140,4046008,1,BETTER WAVERLY,716 GORSUCH AVE
141,3824031,1,BARCLAY,446 E 23RD ST
142,1590063,1,MILTON-MONTFORD,2312 ASHLAND AV
