,Neighborhood,VAC:PROG,REC:PROG,ADOPT:PROG,BID:PROG,VACandADOPT,VACandREC,VACandBID,ADOPTandBID,REAL:Vacant,AnyProgram,TotalParcels,NotCityOwned,CityOwned,CityOwnedProgramSubset,AdditionalVacants,population,white,blk_afam,amind_akna,asian,nathaw_pac,other_race,twoormore,hisp_lat,male,female,age0_4,age5_11,age12_14,age15_17,age18_24,age25_34,age35_44,age45_64,age65ovr,families,married,married18,malehh,malehh18,femalehh,femalehh18,housing,occupied,occ_own,occ_rent,vacant,vac_rent,vac_sale,vac_other,pop_dens,pop_chng,hh_chng,avehhsize,2019MedianIncome,MedianIncomeChangeFrom2011,2019PercentPublicAssistance
51,COLDSTREAMHOMESTEADMONTEBELLO,326.0,13.0,51.0,3.0,0.0,7.0,1.0,0.0,392.0,385,3103,2841.0,262.0,66.0,67.0,7266.0,118.0,6972.0,21.0,31.0,0.0,16.0,108.0,102.0,3337.0,3929.0,489.0,732.0,310.0,365.0,818.0,911.0,842.0,1917.0,882.0,1714.0,486.0,151.0,211.0,63.0,1017.0,432.0,3140.0,2428.0,1257.0,1171.0,712.0,208.0,60.0,444.0,14115.9099058,-1471.0,-327.0,2.96169996,39439.0,6878.0,0.085
52,CONCERNEDCITIZENSOFFORESTPARK,20.0,1.0,19.0,0.0,0.0,1.0,0.0,0.0,27.0,39,464,442.0,22.0,19.0,7.0,1153.0,12.0,1126.0,1.0,2.0,0.0,1.0,11.0,12.0,523.0,630.0,58.0,97.0,48.0,65.0,138.0,122.0,118.0,341.0,166.0,288.0,98.0,33.0,30.0,13.0,160.0,59.0,546.0,432.0,238.0,194.0,114.0,44.0,20.0,50.0,14432.8142023,-177.0,-39.0,2.63193988,58037.0,24741.0,0.04
53,COPPINHEIGHTS/ASH-CO-EAST,182.0,9.0,14.0,1.0,0.0,7.0,1.0,0.0,201.0,198,1302,1283.0,19.0,16.0,19.0,2660.0,13.0,2592.0,7.0,10.0,3.0,7.0,28.0,20.0,1210.0,1450.0,189.0,273.0,119.0,131.0,295.0,316.0,292.0,719.0,326.0,604.0,164.0,43.0,79.0,21.0,361.0,159.0,1269.0,891.0,457.0,434.0,378.0,78.0,28.0,272.0,13856.8801631,-444.0,-202.0,2.97979998,44021.0,19156.0,0.022
54,CROSSCOUNTRY,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2,1306,1303.0,3.0,1.0,1.0,5157.0,4039.0,822.0,2.0,175.0,0.0,50.0,69.0,111.0,2340.0,2817.0,483.0,614.0,242.0,251.0,461.0,674.0,481.0,1015.0,936.0,1143.0,921.0,457.0,58.0,26.0,164.0,85.0,2130.0,1989.0,1037.0,952.0,141.0,64.0,32.0,45.0,8705.17868903,492.0,19.0,2.51154994,62107.0,9956.0,0.032
55,CROSSKEYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,811,809.0,2.0,,,856.0,725.0,85.0,0.0,25.0,1.0,5.0,15.0,15.0,344.0,512.0,9.0,18.0,4.0,1.0,17.0,89.0,60.0,272.0,386.0,169.0,143.0,18.0,3.0,1.0,23.0,5.0,729.0,625.0,497.0,128.0,104.0,18.0,20.0,66.0,3076.81019608,-3.0,-15.0,1.36960005,56490.0,-31465.0,0.7
56,CURTISBAY,104.0,9.0,12.0,0.0,0.0,8.0,0.0,0.0,128.0,117,1700,1672.0,28.0,12.0,24.0,4063.0,2512.0,1086.0,30.0,104.0,0.0,88.0,243.0,227.0,2028.0,2035.0,386.0,395.0,113.0,122.0,430.0,706.0,528.0,1051.0,332.0,943.0,456.0,170.0,144.0,67.0,343.0,189.0,1904.0,1528.0,618.0,910.0,376.0,232.0,48.0,96.0,7949.33687397,81.0,-35.0,2.65902996,40053.0,9417.0,0.158
57,CURTISBAYINDUSTRIALAREA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27,27.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-17499.0,1.0
58,CYLBURN,15.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0,18.0,21,699,692.0,7.0,6.0,3.0,2357.0,43.0,2245.0,18.0,5.0,0.0,12.0,34.0,26.0,1065.0,1292.0,154.0,208.0,99.0,84.0,211.0,284.0,247.0,671.0,399.0,591.0,213.0,55.0,62.0,20.0,316.0,138.0,1047.0,950.0,523.0,427.0,97.0,35.0,9.0,53.0,10667.9796573,-229.0,7.0,2.48105001,50855.0,13652.0,0.065
59,DARLEYPARK,94.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,114.0,97,531,521.0,10.0,10.0,20.0,1218.0,7.0,1189.0,1.0,6.0,0.0,0.0,15.0,7.0,585.0,633.0,94.0,128.0,57.0,61.0,138.0,144.0,145.0,312.0,139.0,278.0,76.0,24.0,34.0,15.0,168.0,66.0,525.0,378.0,181.0,197.0,147.0,42.0,10.0,95.0,23438.749595,-334.0,-87.0,3.22221994,29628.0,-3356.0,0.175
60,DICKEYVILLE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,132,130.0,2.0,1.0,,156.0,143.0,9.0,0.0,0.0,0.0,1.0,3.0,6.0,73.0,83.0,12.0,5.0,0.0,1.0,3.0,15.0,19.0,67.0,34.0,33.0,28.0,9.0,1.0,0.0,4.0,1.0,88.0,84.0,81.0,3.0,4.0,0.0,0.0,4.0,731.95066533,-143.0,-7.0,1.85713994,31024.0,-7468.0,0.072
61,DOLFIELD,16.0,3.0,6.0,0.0,0.0,2.0,0.0,0.0,20.0,23,652,641.0,11.0,6.0,4.0,2156.0,48.0,2065.0,12.0,10.0,0.0,4.0,17.0,17.0,931.0,1225.0,147.0,175.0,75.0,90.0,191.0,251.0,251.0,610.0,366.0,517.0,168.0,46.0,45.0,20.0,304.0,132.0,935.0,792.0,396.0,396.0,143.0,41.0,9.0,93.0,12677.9864541,-87.0,-55.0,2.61364006,40616.0,1511.0,0.087
62,DORCHESTER,18.0,6.0,14.0,0.0,0.0,2.0,0.0,0.0,26.0,36,569,550.0,19.0,14.0,8.0,1700.0,17.0,1659.0,3.0,6.0,0.0,3.0,12.0,17.0,797.0,903.0,128.0,146.0,87.0,87.0,172.0,211.0,181.0,479.0,209.0,396.0,131.0,52.0,57.0,22.0,208.0,88.0,760.0,598.0,301.0,297.0,162.0,30.0,7.0,125.0,8920.28262498,-118.0,-71.0,2.82106995,87851.0,58439.0,0.17
63,DOWNTOWN,47.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,54.0,48,1197,1078.0,119.0,17.0,7.0,4448.0,2161.0,1126.0,12.0,927.0,6.0,65.0,151.0,234.0,2259.0,2189.0,98.0,40.0,21.0,17.0,1017.0,1999.0,512.0,634.0,110.0,417.0,310.0,75.0,37.0,14.0,70.0,31.0,3228.0,2600.0,137.0,2463.0,628.0,349.0,133.0,146.0,10919.324132,2592.0,1550.0,1.48385,47862.0,9850.0,0.4
64,DOWNTOWNWEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,54,33.0,21.0,,,366.0,246.0,48.0,1.0,50.0,0.0,4.0,17.0,21.0,203.0,163.0,2.0,0.0,0.0,0.0,87.0,185.0,54.0,36.0,2.0,34.0,32.0,2.0,1.0,0.0,1.0,0.0,306.0,265.0,2.0,263.0,41.0,27.0,1.0,13.0,3336.43089331,245.0,183.0,1.34716999,61534.0,20553.0,
65,DRUIDHEIGHTS,169.0,2.0,136.0,15.0,5.0,2.0,10.0,1.0,185.0,304,1043,770.0,273.0,163.0,16.0,1497.0,19.0,1454.0,5.0,4.0,0.0,2.0,13.0,11.0,732.0,765.0,105.0,129.0,68.0,72.0,165.0,193.0,162.0,432.0,171.0,292.0,64.0,22.0,46.0,16.0,182.0,90.0,1074.0,591.0,173.0,418.0,483.0,55.0,22.0,406.0,16538.5774252,-402.0,-184.0,2.50931,36906.0,13509.0,0.051
66,DRUIDHILLPARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,2.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73741.0,23514.0,0.167
67,DUNBAR-BROADWAY,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,68,60.0,8.0,1.0,,889.0,47.0,734.0,1.0,91.0,0.0,1.0,15.0,8.0,343.0,546.0,75.0,102.0,24.0,28.0,154.0,166.0,74.0,197.0,69.0,170.0,25.0,11.0,9.0,3.0,136.0,80.0,385.0,367.0,1.0,366.0,18.0,14.0,0.0,4.0,5181.68389101,-289.0,-211.0,1.98909997,40121.0,17068.0,0.096
68,DUNDALKMARINETERMINAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,6.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
69,EASTARLINGTON,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,4,722,717.0,5.0,3.0,1.0,2432.0,18.0,2368.0,0.0,8.0,2.0,8.0,28.0,27.0,1036.0,1396.0,160.0,231.0,96.0,95.0,248.0,342.0,289.0,640.0,331.0,635.0,196.0,69.0,82.0,30.0,357.0,167.0,1067.0,1000.0,481.0,519.0,67.0,41.0,11.0,15.0,18801.9198561,-27.0,-37.0,2.43199992,44514.0,10603.0,0.031
70,EASTBALTIMOREMIDWAY,337.0,14.0,37.0,15.0,0.0,5.0,5.0,7.0,416.0,386,1808,1729.0,79.0,53.0,79.0,3034.0,40.0,2924.0,13.0,20.0,0.0,0.0,37.0,13.0,1407.0,1627.0,227.0,291.0,122.0,120.0,337.0,364.0,365.0,824.0,384.0,708.0,195.0,57.0,83.0,25.0,430.0,164.0,1556.0,1019.0,511.0,508.0,537.0,142.0,43.0,352.0,10119.3872211,-1105.0,-303.0,2.9774301,34176.0,3839.0,0.087
71,EASTERWOOD,162.0,1.0,8.0,4.0,0.0,1.0,3.0,0.0,177.0,171,761,744.0,17.0,13.0,15.0,1596.0,31.0,1539.0,6.0,3.0,0.0,1.0,16.0,26.0,727.0,869.0,114.0,160.0,73.0,85.0,182.0,204.0,177.0,412.0,189.0,353.0,93.0,27.0,41.0,16.0,219.0,108.0,775.0,561.0,291.0,270.0,214.0,39.0,5.0,170.0,20662.3289462,-139.0,-93.0,2.84491991,39431.0,10589.0,0.043
72,EASTWOOD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,290,290.0,,,,577.0,486.0,25.0,1.0,10.0,1.0,29.0,25.0,74.0,281.0,296.0,34.0,40.0,14.0,16.0,58.0,101.0,81.0,144.0,89.0,137.0,84.0,31.0,19.0,7.0,34.0,13.0,270.0,253.0,188.0,65.0,17.0,4.0,6.0,7.0,20570.4229888,36.0,0.0,2.28063011,46524.0,4287.0,0.109
73,EDGEWOOD,50.0,5.0,49.0,2.0,0.0,2.0,1.0,0.0,63.0,103,1054,986.0,68.0,54.0,13.0,2399.0,20.0,2330.0,15.0,1.0,4.0,6.0,23.0,20.0,1059.0,1340.0,162.0,248.0,96.0,128.0,291.0,257.0,249.0,624.0,344.0,587.0,186.0,47.0,54.0,16.0,347.0,137.0,922.0,765.0,489.0,276.0,157.0,42.0,17.0,98.0,23101.2634872,-229.0,-66.0,3.13203001,35218.0,2562.0,0.065
74,EDMONDSONVILLAGE,21.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,30.0,23,1351,1350.0,1.0,,9.0,3940.0,30.0,3832.0,6.0,2.0,0.0,4.0,66.0,32.0,1712.0,2228.0,272.0,298.0,185.0,179.0,464.0,475.0,404.0,1043.0,620.0,1044.0,334.0,89.0,100.0,33.0,610.0,274.0,1666.0,1493.0,943.0,550.0,173.0,64.0,19.0,90.0,21202.0994404,-524.0,-89.0,2.63697004,43484.0,4447.0,0.103
75,EDNORGARDENS-LAKESIDE,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,11,1955,1946.0,9.0,4.0,7.0,5185.0,802.0,4153.0,10.0,93.0,0.0,25.0,102.0,70.0,2284.0,2901.0,290.0,363.0,159.0,167.0,375.0,699.0,683.0,1464.0,985.0,1244.0,646.0,188.0,95.0,39.0,503.0,181.0,2410.0,2261.0,1604.0,657.0,149.0,72.0,29.0,48.0,10152.8741069,117.0,333.0,2.27775001,61028.0,9064.0,0.025
76,ELLWOODPARK/MONUMENT,134.0,10.0,7.0,0.0,0.0,4.0,0.0,0.0,153.0,147,1343,1333.0,10.0,7.0,19.0,3580.0,415.0,2647.0,44.0,72.0,7.0,276.0,119.0,501.0,1738.0,1842.0,323.0,416.0,163.0,180.0,486.0,601.0,435.0,795.0,181.0,789.0,217.0,77.0,94.0,46.0,478.0,261.0,1363.0,1047.0,365.0,682.0,316.0,175.0,26.0,115.0,25673.2306233,74.0,-31.0,3.41929006,40868.0,4458.0,0.062
77,EVERGREEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,173,170.0,3.0,,,382.0,348.0,9.0,2.0,9.0,0.0,0.0,14.0,9.0,182.0,200.0,26.0,41.0,3.0,8.0,12.0,53.0,77.0,126.0,36.0,98.0,76.0,38.0,6.0,1.0,16.0,9.0,216.0,185.0,128.0,57.0,31.0,10.0,7.0,14.0,6637.14009299,-25.0,-22.0,2.04324007,160625.0,81042.0,0.012
78,EVERGREENLAWN,16.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,18.0,17,416,415.0,1.0,,2.0,1132.0,10.0,1082.0,2.0,3.0,0.0,8.0,27.0,19.0,523.0,609.0,72.0,88.0,39.0,59.0,114.0,115.0,130.0,345.0,170.0,273.0,102.0,35.0,36.0,8.0,135.0,51.0,441.0,399.0,283.0,116.0,42.0,8.0,3.0,31.0,21197.2687424,-91.0,-47.0,2.83709001,31708.0,-2695.0,0.137
79,EVESHAMPARK,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2,243,239.0,4.0,2.0,,709.0,261.0,404.0,2.0,13.0,3.0,5.0,21.0,26.0,334.0,375.0,60.0,58.0,17.0,10.0,106.0,139.0,103.0,180.0,36.0,167.0,73.0,31.0,19.0,8.0,75.0,49.0,360.0,332.0,147.0,185.0,28.0,8.0,3.0,17.0,9655.49614788,32.0,-10.0,2.11747002,58790.0,19008.0,
80,FAIRFIELDAREA,4.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,4.0,99,381,270.0,111.0,95.0,,159.0,105.0,43.0,0.0,1.0,0.0,7.0,3.0,19.0,72.0,87.0,13.0,16.0,4.0,1.0,11.0,30.0,24.0,46.0,14.0,32.0,13.0,5.0,2.0,1.0,17.0,13.0,100.0,69.0,9.0,60.0,31.0,17.0,5.0,9.0,66.13152802,-60.0,0.0,2.30434989,38628.0,16329.0,0.525
81,FAIRMONT,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,11,155,146.0,9.0,7.0,2.0,347.0,10.0,322.0,7.0,1.0,0.0,3.0,4.0,2.0,166.0,181.0,21.0,22.0,4.0,11.0,32.0,29.0,42.0,101.0,85.0,82.0,40.0,5.0,11.0,3.0,31.0,7.0,164.0,143.0,104.0,39.0,21.0,8.0,5.0,8.0,2094.63279645,-37.0,-20.0,2.42656993,24416.0,-15700.0,0.01
82,FALLSTAFF,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,6,886,881.0,5.0,3.0,1.0,4219.0,1575.0,2031.0,23.0,102.0,25.0,382.0,81.0,589.0,1958.0,2261.0,343.0,331.0,140.0,176.0,431.0,607.0,494.0,1109.0,588.0,965.0,525.0,225.0,123.0,39.0,317.0,160.0,1935.0,1789.0,649.0,1140.0,146.0,108.0,13.0,25.0,14275.7031028,312.0,96.0,2.3543899,42558.0,1152.0,0.05
83,FEDERALHILL,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,6,1366,1353.0,13.0,3.0,2.0,2600.0,2315.0,132.0,5.0,86.0,0.0,13.0,49.0,79.0,1349.0,1251.0,123.0,71.0,9.0,19.0,358.0,933.0,345.0,537.0,205.0,424.0,366.0,102.0,23.0,9.0,35.0,16.0,1554.0,1395.0,670.0,725.0,159.0,83.0,27.0,49.0,17459.6324902,198.0,101.0,1.83369004,114032.0,20687.0,0.013
84,FELLSPOINT,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,11,2333,2307.0,26.0,1.0,5.0,3976.0,3074.0,349.0,19.0,208.0,6.0,195.0,125.0,444.0,2141.0,1835.0,119.0,66.0,16.0,29.0,377.0,1467.0,621.0,937.0,344.0,620.0,475.0,92.0,62.0,17.0,83.0,29.0,2807.0,2246.0,681.0,1565.0,561.0,293.0,55.0,213.0,13802.6883426,924.0,542.0,1.67808997,88092.0,38474.0,0.025
85,FORESTPARK,18.0,2.0,8.0,0.0,1.0,1.0,0.0,0.0,25.0,26,425,417.0,8.0,8.0,7.0,1560.0,25.0,1504.0,8.0,1.0,0.0,5.0,17.0,35.0,681.0,879.0,96.0,102.0,45.0,64.0,177.0,169.0,180.0,500.0,227.0,367.0,137.0,38.0,46.0,21.0,184.0,59.0,933.0,667.0,275.0,392.0,266.0,54.0,6.0,206.0,10059.3117376,-147.0,-40.0,2.33882999,49159.0,-5725.0,0.01
86,FORESTPARKGOLFCOURSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,120,119.0,1.0,,,392.0,11.0,376.0,0.0,0.0,0.0,2.0,3.0,9.0,185.0,207.0,34.0,36.0,9.0,14.0,45.0,35.0,45.0,103.0,71.0,93.0,34.0,9.0,18.0,7.0,41.0,15.0,136.0,126.0,105.0,21.0,10.0,1.0,1.0,8.0,3805.54626503,61.0,0.0,3.11110997,78440.0,22775.0,0.062
87,FOURBYFOUR,59.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,75.0,60,526,524.0,2.0,2.0,16.0,1261.0,27.0,1197.0,1.0,3.0,0.0,10.0,23.0,16.0,587.0,674.0,104.0,164.0,65.0,64.0,157.0,175.0,167.0,256.0,109.0,300.0,83.0,35.0,28.0,14.0,189.0,101.0,463.0,391.0,192.0,199.0,72.0,35.0,9.0,28.0,17808.1410683,-363.0,-113.0,3.22505998,32992.0,-8536.0,0.041
88,FRANKFORD,16.0,2.0,47.0,1.0,0.0,0.0,0.0,1.0,28.0,65,4182,4110.0,72.0,46.0,12.0,17694.0,2092.0,14595.0,67.0,400.0,4.0,115.0,421.0,362.0,8056.0,9638.0,1383.0,1708.0,654.0,748.0,2180.0,2672.0,2269.0,4617.0,1463.0,4175.0,1761.0,679.0,432.0,211.0,1982.0,1191.0,7894.0,7137.0,2970.0,4167.0,757.0,430.0,106.0,221.0,8327.28694902,902.0,31.0,2.44359993,54855.0,11094.0,0.035
89,FRANKLINSQUARE,267.0,13.0,171.0,92.0,0.0,9.0,20.0,63.0,321.0,451,1511,1247.0,264.0,220.0,55.0,2967.0,98.0,2728.0,22.0,11.0,0.0,62.0,46.0,108.0,1432.0,1535.0,249.0,275.0,103.0,118.0,324.0,369.0,351.0,859.0,319.0,649.0,144.0,39.0,84.0,38.0,421.0,207.0,1861.0,1172.0,296.0,876.0,689.0,168.0,23.0,498.0,17238.4092852,-585.0,-220.0,2.5,26086.0,-8523.0,0.055
90,FRANKLINTOWN,5.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,21,303,275.0,28.0,16.0,,1282.0,88.0,1170.0,4.0,1.0,0.0,9.0,10.0,28.0,559.0,723.0,120.0,155.0,59.0,60.0,164.0,212.0,159.0,287.0,66.0,316.0,102.0,44.0,32.0,17.0,182.0,117.0,546.0,500.0,107.0,393.0,46.0,28.0,2.0,16.0,2153.3345669,-132.0,-60.0,2.54999995,71615.0,31498.0,0.056
91,FRANKLINTOWNROAD,161.0,2.0,19.0,5.0,0.0,1.0,4.0,0.0,169.0,182,773,740.0,33.0,26.0,8.0,1940.0,5.0,1885.0,5.0,8.0,0.0,6.0,31.0,31.0,909.0,1031.0,136.0,157.0,71.0,98.0,210.0,218.0,183.0,553.0,314.0,425.0,117.0,33.0,55.0,19.0,253.0,110.0,962.0,793.0,338.0,455.0,169.0,59.0,33.0,77.0,15785.4894218,-425.0,-173.0,2.44640994,37248.0,10764.0,0.114
92,GARWYNOAKS,9.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,9.0,16,312,306.0,6.0,6.0,,1132.0,19.0,1100.0,0.0,1.0,0.0,0.0,12.0,6.0,520.0,612.0,71.0,107.0,37.0,46.0,126.0,120.0,142.0,330.0,153.0,247.0,107.0,27.0,22.0,11.0,118.0,49.0,673.0,404.0,196.0,208.0,269.0,18.0,13.0,238.0,8617.7321378,-442.0,-169.0,2.76237988,59364.0,28018.0,0.071
93,GAYSTREET,27.0,0.0,24.0,20.0,1.0,0.0,1.0,17.0,36.0,53,358,314.0,44.0,28.0,11.0,1998.0,21.0,1943.0,0.0,13.0,0.0,3.0,18.0,16.0,775.0,1223.0,227.0,288.0,104.0,90.0,229.0,262.0,171.0,359.0,268.0,441.0,70.0,33.0,25.0,9.0,346.0,240.0,927.0,800.0,83.0,717.0,127.0,50.0,5.0,72.0,18231.5479262,-80.0,-19.0,2.47749996,36394.0,3572.0,0.105
94,GLEN,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,10,2155,2146.0,9.0,6.0,2.0,7876.0,2949.0,4624.0,16.0,72.0,6.0,92.0,117.0,154.0,3605.0,4271.0,511.0,693.0,293.0,322.0,703.0,797.0,767.0,2103.0,1687.0,1822.0,1055.0,404.0,160.0,63.0,607.0,227.0,3630.0,3381.0,1641.0,1740.0,249.0,107.0,42.0,100.0,10540.0563738,-235.0,-51.0,2.36824011,40923.0,-3887.0,0.033
95,GLENOAKS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,768,761.0,7.0,,1.0,2887.0,212.0,2558.0,11.0,37.0,4.0,11.0,54.0,55.0,1282.0,1605.0,202.0,284.0,117.0,125.0,405.0,397.0,357.0,785.0,215.0,735.0,287.0,124.0,82.0,36.0,366.0,195.0,1300.0,1171.0,538.0,633.0,129.0,82.0,15.0,32.0,10722.1069082,-45.0,-30.0,2.46540999,60710.0,12157.0,0.04
97,GLENHAM-BELHAR,18.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,23.0,24,2198,2187.0,11.0,5.0,5.0,6175.0,2314.0,3573.0,31.0,59.0,1.0,43.0,154.0,124.0,2805.0,3370.0,390.0,543.0,242.0,304.0,554.0,855.0,860.0,1725.0,702.0,1476.0,775.0,326.0,138.0,67.0,563.0,305.0,2674.0,2422.0,1715.0,707.0,252.0,84.0,56.0,112.0,8239.45946394,86.0,-38.0,2.4913299,72181.0,15638.0,0.034
98,GRACELANDPARK,9.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,12.0,22,916,898.0,18.0,13.0,3.0,2011.0,1444.0,224.0,39.0,71.0,0.0,162.0,71.0,410.0,997.0,1014.0,137.0,157.0,45.0,55.0,205.0,312.0,215.0,562.0,323.0,465.0,296.0,93.0,52.0,14.0,117.0,51.0,830.0,741.0,551.0,190.0,89.0,31.0,24.0,34.0,6434.40411715,292.0,35.0,2.69095993,45155.0,8431.0,0.046
100,GREEKTOWN,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5,2001,1992.0,9.0,2.0,3.0,3678.0,2401.0,251.0,41.0,56.0,11.0,777.0,141.0,1293.0,1925.0,1753.0,289.0,281.0,124.0,86.0,346.0,844.0,454.0,777.0,477.0,827.0,508.0,199.0,115.0,41.0,204.0,99.0,1510.0,1309.0,664.0,645.0,201.0,98.0,38.0,65.0,16387.1060852,384.0,-5.0,2.80977988,84506.0,49109.0,0.017
101,GREENMOUNTCEMETERY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
102,GREENMOUNTWEST,12.0,1.0,17.0,1.0,0.0,1.0,0.0,0.0,14.0,30,653,625.0,28.0,18.0,2.0,1339.0,331.0,960.0,5.0,20.0,0.0,2.0,21.0,14.0,697.0,642.0,83.0,86.0,35.0,30.0,215.0,289.0,164.0,342.0,95.0,241.0,72.0,23.0,37.0,10.0,132.0,68.0,854.0,570.0,135.0,435.0,284.0,102.0,16.0,166.0,13372.8536277,144.0,90.0,2.31052994,47588.0,12305.0,0.019
103,GREENSPRING,147.0,1.0,48.0,10.0,2.0,0.0,3.0,5.0,171.0,196,1183,1097.0,86.0,61.0,24.0,3436.0,22.0,3357.0,5.0,7.0,1.0,3.0,41.0,17.0,1512.0,1924.0,338.0,347.0,152.0,173.0,400.0,445.0,360.0,799.0,422.0,856.0,235.0,72.0,94.0,43.0,527.0,281.0,1513.0,1187.0,576.0,611.0,326.0,130.0,56.0,140.0,19763.414123,-562.0,-165.0,2.8761599,29250.0,2932.0,0.125
104,GROVEPARK,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5,493,488.0,5.0,1.0,3.0,1934.0,21.0,1859.0,10.0,4.0,0.0,5.0,35.0,19.0,832.0,1102.0,126.0,129.0,76.0,83.0,201.0,218.0,197.0,517.0,387.0,489.0,192.0,54.0,53.0,21.0,244.0,124.0,945.0,871.0,406.0,465.0,74.0,38.0,5.0,31.0,5633.48493242,-239.0,63.0,2.21929001,31979.0,-1259.0,0.08
105,GUILFORD,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4,816,810.0,6.0,2.0,1.0,2214.0,1810.0,221.0,2.0,100.0,3.0,16.0,62.0,70.0,1099.0,1115.0,132.0,218.0,80.0,79.0,139.0,134.0,327.0,775.0,330.0,610.0,552.0,232.0,13.0,6.0,45.0,20.0,941.0,876.0,791.0,85.0,65.0,7.0,7.0,51.0,4005.59300369,116.0,65.0,2.52740001,188116.0,8708.0,
106,GWYNNSFALLS,37.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,43.0,44,583,570.0,13.0,7.0,6.0,1184.0,641.0,479.0,9.0,3.0,0.0,12.0,40.0,51.0,593.0,591.0,85.0,116.0,47.0,58.0,117.0,167.0,166.0,327.0,101.0,285.0,137.0,52.0,49.0,22.0,99.0,47.0,511.0,439.0,244.0,195.0,72.0,19.0,8.0,45.0,6623.84126819,1.0,-28.0,2.69704008,37960.0,2871.0,0.046
107,GWYNNSFALLS/LEAKINPARK,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,7,26,3.0,23.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35579.0,5804.0,0.034
