,Neighborhood,VAC:PROG,REC:PROG,ADOPT:PROG,BID:PROG,VACandADOPT,VACandREC,VACandBID,ADOPTandBID,REAL:Vacant,AnyProgram,TotalParcels,NotCityOwned,CityOwned,CityOwnedProgramSubset,AdditionalVacants,population,white,blk_afam,amind_akna,asian,nathaw_pac,other_race,twoormore,hisp_lat,male,female,age0_4,age5_11,age12_14,age15_17,age18_24,age25_34,age35_44,age45_64,age65ovr,families,married,married18,malehh,malehh18,femalehh,femalehh18,housing,occupied,occ_own,occ_rent,vacant,vac_rent,vac_sale,vac_other,pop_dens,pop_chng,hh_chng,avehhsize,2019MedianIncome,MedianIncomeChangeFrom2011,2019PercentPublicAssistance
12,BELAIR-EDISON,98.0,9.0,6.0,0.0,0.0,5.0,0.0,0.0,142.0,108,6346,6328.0,18.0,6.0,44.0,16690.0,1338.0,14958.0,38.0,81.0,1.0,77.0,197.0,199.0,7500.0,9190.0,1134.0,1734.0,794.0,873.0,1825.0,2251.0,2145.0,4675.0,1259.0,4157.0,1457.0,491.0,382.0,155.0,2318.0,1191.0,6710.0,5986.0,4107.0,1879.0,724.0,238.0,104.0,382.0,20231.4288208,167.0,-37.0,2.78666996,51922.0,8491.0,0.07
13,BELAIR-PARKSIDE,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4,174,172.0,2.0,1.0,,444.0,108.0,299.0,1.0,7.0,0.0,1.0,28.0,10.0,197.0,247.0,24.0,51.0,18.0,33.0,33.0,68.0,54.0,119.0,44.0,106.0,55.0,19.0,5.0,3.0,46.0,23.0,183.0,157.0,121.0,36.0,26.0,5.0,8.0,13.0,13783.0674115,-58.0,-7.0,2.8280301,51922.0,8491.0,0.07
14,BELLONA-GITTINGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,248,248.0,,,,599.0,481.0,64.0,0.0,35.0,0.0,2.0,17.0,19.0,286.0,313.0,38.0,58.0,20.0,21.0,32.0,39.0,69.0,191.0,131.0,178.0,159.0,63.0,8.0,2.0,11.0,5.0,265.0,246.0,211.0,35.0,19.0,6.0,6.0,7.0,3684.79933242,0.0,-9.0,2.43495988,167464.0,18047.0,
15,BELVEDERE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,343,341.0,2.0,1.0,1.0,720.0,234.0,466.0,1.0,4.0,0.0,4.0,11.0,6.0,339.0,381.0,39.0,57.0,24.0,25.0,47.0,114.0,86.0,242.0,86.0,193.0,116.0,36.0,6.0,3.0,71.0,36.0,325.0,292.0,246.0,46.0,33.0,3.0,9.0,21.0,6946.99905265,0.0,-15.0,2.46574997,77813.0,-1250.0,0.034
16,BEREA,152.0,3.0,11.0,11.0,0.0,2.0,4.0,5.0,181.0,166,1761,1718.0,43.0,18.0,29.0,3865.0,32.0,3784.0,11.0,7.0,0.0,5.0,26.0,35.0,1749.0,2116.0,234.0,319.0,133.0,185.0,362.0,382.0,421.0,1092.0,737.0,930.0,280.0,72.0,119.0,34.0,531.0,193.0,1815.0,1518.0,815.0,703.0,297.0,115.0,16.0,166.0,11366.8232976,-660.0,-179.0,2.54216003,42351.0,13809.0,0.017
17,BETTERWAVERLY,59.0,10.0,38.0,1.0,0.0,2.0,0.0,1.0,76.0,105,1145,1089.0,56.0,39.0,17.0,2874.0,389.0,2363.0,9.0,27.0,0.0,28.0,58.0,92.0,1251.0,1623.0,224.0,260.0,109.0,118.0,306.0,507.0,361.0,790.0,199.0,606.0,173.0,63.0,82.0,39.0,351.0,186.0,1383.0,1149.0,434.0,715.0,234.0,60.0,29.0,145.0,10199.4826231,-153.0,18.0,2.46475005,41610.0,15071.0,0.09
18,BEVERLYHILLS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,321,321.0,,,,669.0,389.0,265.0,1.0,3.0,0.0,8.0,3.0,13.0,309.0,360.0,36.0,46.0,20.0,25.0,44.0,95.0,96.0,234.0,73.0,170.0,112.0,39.0,10.0,4.0,48.0,22.0,317.0,289.0,237.0,52.0,28.0,4.0,6.0,18.0,6422.64387354,-132.0,-3.0,2.31487989,78348.0,3160.0,0.027
19,BIDDLESTREET,107.0,0.0,34.0,1.0,0.0,0.0,1.0,0.0,115.0,141,684,614.0,70.0,50.0,8.0,1265.0,8.0,1239.0,0.0,2.0,0.0,6.0,10.0,10.0,601.0,664.0,97.0,129.0,44.0,66.0,139.0,126.0,155.0,315.0,194.0,314.0,78.0,23.0,39.0,4.0,197.0,84.0,601.0,429.0,208.0,221.0,172.0,45.0,4.0,123.0,11209.5285785,-209.0,-64.0,2.94871997,32522.0,2617.0,0.042
20,BLYTHEWOOD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,12.0,,,,72.0,67.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,38.0,34.0,2.0,12.0,2.0,5.0,1.0,2.0,12.0,20.0,16.0,21.0,19.0,8.0,2.0,0.0,0.0,0.0,28.0,26.0,26.0,0.0,2.0,0.0,0.0,2.0,948.71155783,44.0,15.0,2.76922988,250000.0,-1.0,
21,BOLTONHILL,2.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,3.0,9,1058,1038.0,20.0,7.0,1.0,4974.0,2807.0,1581.0,10.0,361.0,2.0,53.0,160.0,163.0,2215.0,2759.0,139.0,152.0,49.0,41.0,1496.0,708.0,479.0,1070.0,840.0,613.0,439.0,125.0,48.0,22.0,126.0,54.0,2883.0,2589.0,693.0,1896.0,294.0,177.0,8.0,109.0,21842.1651763,-318.0,-83.0,1.6516,63072.0,25653.0,0.025
