BlockLot,StreetName,HouseNum,Dir,StreetType,Zip,Neighborhood,Lawyer,Project Name,Receiver Appointed,Auction Date,x,y
3061B015,HILTON,2607,N,ST,21216,HANLON-LONGWOOD,BLAIR GRIFFITH,,"January 7, 2020",,,
1640058,MCELDERRY,2402,,ST,21205,MCELDERRY PARK,EVAN HELFRICH,,"January 8, 2019",,,
5953G013,FRANKFORD,4813,,AVE,21206,FRANKFORD,SOPHIE ASIKE,,"March 5, 2019",,,
0244024,FULTON,123,S,AVE,21223,UNION SQUARE,SHEA BEITLER-AKMAN,Union to Gilmor Phase 9,"November 12, 2019",,,
0227049,FULTON,48,S,AVE,21223,CARROLLTON RIDGE,SHEA BEITLER-AKMAN,Union to Gilmor Phase 9,"July 16, 2019",,,
0227048,FULTON,50,S,AVE,21223,CARROLLTON RIDGE,SHEA BEITLER-AKMAN,Union to Gilmor Phase 9,"July 16, 2019",,,
1624004,MONUMENT,2406,E,ST,21205,,EVAN HELFRICH,,"October 8, 2019",,,
2717004,BOARMAN,4006,,AVE,21215,DORCHESTER,BLAIR GRIFFITH,,"January 29, 2019",,,
4589036,PEMBRIDGE,5134,,AVE,21215,CENTRAL PARK HEIGHTS,BLAIR GRIFFITH,,"January 29, 2019",,,
0262045,MCHENRY,1608,,ST,21223,NEW SOUTHWEST/MOUNT CLARE,SHEA BEITLER-AKMAN,Ramsay-Gilmor,"April 9, 2019",,,
0277062,MCHENRY,1609,,ST,21223,NEW SOUTHWEST/MOUNT CLARE,SHEA BEITLER-AKMAN,Ramsay-Gilmor,"January 15, 2019",,,
4071059,BOONE,2702,,ST,21218,BETTER WAVERLY,KENT GRASSO,Matthews and 27th,"January 8, 2019",,,
0197030,BALTIMORE,1416,W,ST,21223,FRANKLIN SQUARE,SHEA BEITLER-AKMAN,,"August 27, 2019",,,
0197026,BALTIMORE,1430,W,ST,21223,FRANKLIN SQUARE,SHEA BEITLER-AKMAN,,"February 5, 2019",,,
4071035,MATHEWS,2706,,ST,21218,BETTER WAVERLY,KENT GRASSO,Matthews and 27th,"April 16, 2019",,,
0277054,MCHENRY,1625,,ST,21223,NEW SOUTHWEST/MOUNT CLARE,SHEA BEITLER-AKMAN,Ramsay-Gilmor,"January 15, 2019",,,
0235031,ARLINGTON,49,S,AVE,21223,HOLLINS MARKET,SHEA BEITLER-AKMAN,,"April 30, 2019",,,
0149066,FULTON,323,N,AVE,21223,FRANKLIN SQUARE,SHEA BEITLER-AKMAN,,"January 14, 2020",,,
8219006,BELVIEU,4410,,AVE,21215,WEST ARLINGTON,BLAIR GRIFFITH,,"January 22, 2019",,,
8358001,SPRINGDALE,4101,,AVE,21207,CENTRAL FOREST PARK,BLAIR GRIFFITH,,"August 20, 2019",,,
0197028,BALTIMORE,1424,W,ST,21223,FRANKLIN SQUARE,SHEA BEITLER-AKMAN,,"August 27, 2019",,,
0197027,BALTIMORE,1428,W,ST,21223,FRANKLIN SQUARE,SHEA BEITLER-AKMAN,,"August 27, 2019",,,
0197029,BALTIMORE,1420,W,ST,21223,FRANKLIN SQUARE,SHEA BEITLER-AKMAN,,"August 27, 2019",,,
2350066,CALVERTON HEIGHTS,2328,,AVE,21216,BRIDGEVIEW/GREENLAWN,SHEA BEITLER-AKMAN,,"January 29, 2019",,,
0719B011,MONROE,620,S,ST,21217,CARROLLTON RIDGE,SHEA BEITLER-AKMAN,Eagle and Mason Phase 9,"February 12, 2019",,,
0107067,EDMONDSON,1916,,AVE,21223,MIDTOWN-EDMONDSON,SHEA BEITLER-AKMAN,,"January 22, 2019",,,
7470S062,EASTSHIRE,2821,,DR,21230,LAKELAND,SHEA BEITLER-AKMAN,,"September 17, 2019",,,
