BlockLot,StreetName,HouseNum,Dir,StreetType,Zip,Neighborhood,Lawyer,Project Name,Receiver Appointed,Auction Date,x,y
5165C002,MCCABE,702,,AVE,21212,WOODBOURNE-MCCABE,KENT GRASSO,Mc Cabe,"March 10, 2020",,,
4544B021,CUTHBERT,5222,,AVE,21215,ARLINGTON,BLAIR GRIFFITH,,"October 25, 2020",,,
4096007,HOMESTEAD,922,,ST,21218,BETTER WAVERLY,KENT GRASSO,,"March 3, 2020",,,
4511A007,CUTHBERT,5354,,AVE,21215,ARLINGTON,BLAIR GRIFFITH,,"December 3, 2019",,,
3172053,ULMAN,2800,,AV,21215,PARK CIRCLE,BLAIR GRIFFITH,,"April 2, 2019",,,
3061B091,ELLAMONT,2501,N,ST,21216,HANLON-LONGWOOD,BLAIR GRIFFITH,,"September 24, 2019",,,
2902003C,LIBERTY HEIGHTS,3623,,AVE,21215,FOREST PARK,BLAIR GRIFFITH,,"October 29, 2019",,,
2960073,RIDGEWOOD,3920,,AVE,21215,DOLFIELD,BLAIR GRIFFITH,,"June 29, 2021",,,
2289013,ALLENDALE,325,,ST,21229,ALLENDALE,PAUL OMALLEY,,"November 12, 2019",,,
2362055,HARLEM,2505,,AVE,21216,EVERGREEN LAWN,JAMES FARLEY,,"July 23, 2019",,,
7841A046,GRIFFIS,2008,,AVE,21230,MORRELL PARK,PAUL OMALLEY,,"April 14, 2019",,,
2285004,FRANKLIN,3507,W,ST,21229,ALLENDALE,PAUL OMALLEY,,"July 23, 2019",,,
7779003,WASHINGTON,2530,,BLVD,21230,MORRELL PARK,PAUL OMALLEY,,"July 23, 2019",,,
2503048,LINNARD,715,,ST,21229,EDMONDSON VILLAGE,PAUL OMALLEY,,"July 9, 2019",,,
2275A066,MONASTERY,145,N,AVE,21229,ALLENDALE,PAUL OMALLEY,,"August 30, 2019",,,
2275A059,MONASTERY,159,N,AVE,21229,ALLENDALE,PAUL OMALLEY,,"October 1, 2019",,,
2544001,AUGUSTA,200,S,AVE,21229,IRVINGTON,PAUL OMALLEY,,"February 18, 2020",,,
2537036,COLLINS,314,S,AVE,21229,IRVINGTON,PAUL OMALLEY,,"October 29, 2019",,,
2292A030,FRANKLIN,3704,W,ST,21229,ALLENDALE,PAUL OMALLEY,,"January 28, 2020",,,
2247006,LOUDON,249,S,AVE,21229,IRVINGTON,PAUL OMALLEY,,"October 29, 2019",,,
2535002,FREDERICK,4209,,AVE,21229,IRVINGTON,PAUL OMALLEY,,"June 11, 2019",,,
2275A001,HILTON,246,N,ST,21229,ALLENDALE,PAUL OMALLEY,,"March 12, 2019",,,
8139L012,RANDOM,423,,ROAD,21229,BEECHFIELD,PAUL OMALLEY,,"December 10, 2019",,,
8139005,FREDERICK,4709,,AVE,21229,BEECHFIELD,PAUL OMALLEY,,"March 5, 2019",,,
3239007,GWYNNS FALLS,1632,,PKWY,21217,PARKVIEW/WOODBROOK,JAMES FARLEY,,"November 17, 2020",,,
3235030,GWYNNS FALLS,1635,,PKWY,21217,PARKVIEW/WOODBROOK,JAMES FARLEY,,"June 4, 2019",,,
3240001,GWYNNS FALLS,1700,,PKWY,21217,PARKVIEW/WOODBROOK,JAMES FARLEY,,"March 16, 2021",,,
4114F024,GARRETT,2557,,AVE,21218,COLDSTREAM HOMESTEAD MONTEBELL,DORIS WEIL,,"April 16, 2019",,,
0801044,NANTICOKE,1165,,ST,21230,WASHINGTON VILLAGE,SHEA BEITLER-AKMAN,Pigtown Phase 9,"September 3, 2019",,,
0801043,NANTICOKE,1167,,ST,21230,WASHINGTON VILLAGE,SHEA BEITLER-AKMAN,Pigtown Phase 9,"May 28, 2019",,,
0801046,NANTICOKE,1161,,ST,21230,WASHINGTON VILLAGE,SHEA BEITLER-AKMAN,Pigtown Phase 9,"July 30, 2019",,,
4983G007,SPRINGLAKE,5425,,WAY,21212,HOMELAND,KENT GRASSO,,"June 11, 2019",,,
2717003,BOARMAN,4004,,AVE,21215,DORCHESTER,BLAIR GRIFFITH,,"September 17, 2019",,,
5165C040,CRAIG,5211,,AVE,21212,WOODBOURNE-MCCABE,KENT GRASSO,Mc Cabe,"July 30, 2019",,,
5165B034,READY,5213,,AVE,21212,WOODBOURNE-MCCABE,KENT GRASSO,Mc Cabe,"December 17, 2019",,,
2717A003,COLD SPRING,4014,W,LANE,21215,DORCHESTER,BLAIR GRIFFITH,,"March 10, 2020",,,
5898H055,EIERMAN,4013,,AVE,21206,ARCADIA,DORIS WEIL,,"October 27, 2020",,,
2717007,BOARMAN,4012,,AVE,21215,DORCHESTER,BLAIR GRIFFITH,,"September 10, 2019",,,
1570063,PRENTISS,2234,,PL,21205,MIDDLE EAST,EVAN HELFRICH,,"April 2, 2019",,,
1570058,PRENTISS,2224,,PL,21205,MIDDLE EAST,EVAN HELFRICH,,"December 10, 2019",,,
1610029C,ASHLAND,2629,,AV,21205,MADISON-EASTEND,EVAN HELFRICH,,"September 24, 2019",,,
1570047,PRENTISS,2202,,PL,21205,MIDDLE EAST,EVAN HELFRICH,,"December 10, 2019",,,
1570059,PRENTISS,2226,,PL,21205,MIDDLE EAST,EVAN HELFRICH,,"December 10, 2019",,,
1553093,HENNEMAN,2208,,AV,21213,MIDDLE EAST,EVAN HELFRICH,2100-2200 Biddle,"June 4, 2019",,,
1553096,HENNEMAN,2214,,AV,21213,MIDDLE EAST,EVAN HELFRICH,2100-2200 Biddle,"August 6, 2019",,,
1553100,HENNEMAN,2222,,AV,21213,MIDDLE EAST,EVAN HELFRICH,2100-2200 Biddle,"September 24, 2019",,,
1570052,PRENTISS,2212,,PL,21205,MIDDLE EAST,EVAN HELFRICH,,"September 24, 2019",,,
1570084,PRENTISS,2231,,PL,21205,MIDDLE EAST,EVAN HELFRICH,,"January 21, 2020",,,
3024034,CLIFTON,2848,,AVE,21216,PANWAY/BRADDISH AVENUE,JAMES FARLEY,,"July 9, 2019",,,
2336003,BENTALOU,1204,N,ST,21216,BRIDGEVIEW/GREENLAWN,JAMES FARLEY,,"July 16, 2019",,,
3023046,CLIFTON,2924,,AVE,21216,WALBROOK,JAMES FARLEY,,"April 2, 2019",,,
3085A015,DUKELAND,2129,N,ST,21216,PANWAY/BRADDISH AVENUE,JAMES FARLEY,,"July 16, 2019",,,
4511B020,CORDELIA,5310,,AVE,21215,ARLINGTON,BLAIR GRIFFITH,,"July 30, 2019",,,
2364A037,LANVALE,2524,W,ST,21216,EVERGREEN LAWN,JAMES FARLEY,,"October 29, 2019",,,
1608029,ASHLAND,2409,,AV,21205,MILTON-MONTFORD,EVAN HELFRICH,,"March 12, 2019",,,
1656049,JEFFERSON,2514,,ST,21205,MCELDERRY PARK,EVAN HELFRICH,,"October 22, 2019",,,
1543017,POTOMAC,1233,N,ST,21213,BEREA,EVAN HELFRICH,Lakewood-Berea,"January 28, 2020",,,
1690034,ORLEANS,2419,,ST,21224,PATTERSON PLACE,EVAN HELFRICH,,"July 2, 2019",,,
1742013,POTOMAC,25,S,ST,21224,BALTIMORE-LINWOOD,ILYA ALTMAN,,"August 27, 2019",,,
5173A010,IVANHOE,5108,,AVE,21212,WINSTON-GOVANS,KENT GRASSO,,"September 3, 2019",,,
1651032,CHESTER,520,N,ST,21205,MIDDLE EAST,EVAN HELFRICH,500 blk Castle St,"June 25, 2019",,,
1124023,FEDERAL,1309,E,ST,21213,OLIVER,EVAN HELFRICH,Upper Caroline St.,"July 9, 2019",,,
1162009,EDEN,1219,N,ST,21213,OLIVER,EVAN HELFRICH,Oliver Expansion,"April 6, 2021",,,
4429019,ROGERS,3604,W,AV,21215,ARLINGTON,BLAIR GRIFFITH,,"January 28, 2020",,,
7225006,HAZEL,1630,,ST,21226,CURTIS BAY,SHEA BEITLER-AKMAN,,"October 1, 2019",,,
7225019,HAZEL,1604,,ST,21226,CURTIS BAY,SHEA BEITLER-AKMAN,,"September 10, 2019",,,
7225010,HAZEL,1622,,ST,21226,CURTIS BAY,SHEA BEITLER-AKMAN,,"October 1, 2019",,,
7225008,HAZEL,1626,,ST,21226,CURTIS BAY,SHEA BEITLER-AKMAN,,"October 1, 2019",,,
7225012,HAZEL,1618,,ST,21226,CURTIS BAY,SHEA BEITLER-AKMAN,,"July 9, 2019",,,
7225004,HAZEL,1634,,ST,21226,CURTIS BAY,SHEA BEITLER-AKMAN,,"October 1, 2019",,,
7225007,HAZEL,1628,,ST,21226,CURTIS BAY,SHEA BEITLER-AKMAN,,"November 17, 2020",,,
7225015,HAZEL,1612,,ST,21226,CURTIS BAY,SHEA BEITLER-AKMAN,,"November 19, 2019",,,
1621076,DUNCAN,711,N,ST,21205,MIDDLE EAST,EVAN HELFRICH,,"November 12, 2019",,,
1651033,CHESTER,518,N,ST,21205,MIDDLE EAST,EVAN HELFRICH,500 blk Castle St,"February 18, 2020",,,
1621074,DUNCAN,715,N,ST,21205,MIDDLE EAST,EVAN HELFRICH,,"October 6, 2020",,,
1621075,DUNCAN,713,N,ST,21205,MIDDLE EAST,EVAN HELFRICH,,"October 1, 2019",,,
3814010,BARCLAY,2119,,ST,21218,BARCLAY,KENT GRASSO,,"October 8, 2019",,,
4613012,GARRISON,3029,W,AV,21215,CENTRAL PARK HEIGHTS,BLAIR GRIFFITH,Garrison,"January 8, 2019",,,
3235031,GWYNNS FALLS,1637,,PKWY,21217,PARKVIEW/WOODBROOK,JAMES FARLEY,,"October 8, 2019",,,
0452028,HARLEM,827,,AVE,21201,UPTON,EILEEN MURPHY,,"March 10, 2020",,,
0430037,HARLEM,832,,AVE,21201,UPTON,EILEEN MURPHY,,"March 10, 2020",,,
0452032,HARLEM,835,,AVE,21201,UPTON,EILEEN MURPHY,,"September 22, 2020",,,
4585002,GARRISON,3102,W,AV,21215,CENTRAL PARK HEIGHTS,BLAIR GRIFFITH,3100 Garrison,"April 16, 2019",,,
4585002,GARRISON,3102,W,AV,21215,CENTRAL PARK HEIGHTS,BLAIR GRIFFITH,3100 Garrison,"April 16, 2019",,,
7841H019,GRINNALDS,2036,,AVE,21230,MORRELL PARK,PAUL OMALLEY,,"July 9, 2019",,,
2402016,NORTH,2755,W,AVE,21216,COPPIN HEIGHTS/ASH-CO-EAST,JAMES FARLEY,,"May 4, 2021",,,
2401A014,NORTH,2727,W,AVE,21216,COPPIN HEIGHTS/ASH-CO-EAST,JAMES FARLEY,,"November 19, 2019",,,
3006018,NORTH,2798,W,AVE,21216,WALBROOK,JAMES FARLEY,,"September 17, 2019",,,
5126022,HOLLEN,723,,ROAD,21212,LAKE WALKER,KENT GRASSO,,"June 4, 2019",,,
2402015,NORTH,2757,W,AVE,21216,COPPIN HEIGHTS/ASH-CO-EAST,JAMES FARLEY,,"September 29, 2020",,,
2401A015,NORTH,2729,W,AVE,21216,COPPIN HEIGHTS/ASH-CO-EAST,JAMES FARLEY,,"September 17, 2019",,,
2505003,GRANTLEY,704,N,ST,21229,EDMONDSON VILLAGE,PAUL OMALLEY,,"February 18, 2020",,,
6156021,BOULDIN,510,N,ST,21205,ELLWOOD PARK/MONUMENT,EVAN HELFRICH,,"July 2, 2019",,,
1607085,BRADFORD,819,N,ST,21205,MILTON-MONTFORD,EVAN HELFRICH,,"August 13, 2019",,,
6154011,HIGHLAND,604,N,AV,21205,ELLWOOD PARK/MONUMENT,EVAN HELFRICH,,"October 15, 2019",,,
1156050,PRESTON,801,E,ST,21202,JOHNSTON SQUARE,EVAN HELFRICH,,"February 18, 2020",,,
6156033,EAST,513,N,AV,21205,ELLWOOD PARK/MONUMENT,EVAN HELFRICH,,"October 27, 2020",,,
1647028,ROBINSON,620,N,ST,21205,ELLWOOD PARK/MONUMENT,EVAN HELFRICH,,"December 10, 2019",,,
1647001L,ELLWOOD,625,N,AV,21205,ELLWOOD PARK/MONUMENT,EVAN HELFRICH,,"October 27, 2020",,,
4017038,21ST,709,E,ST,21218,EAST BALTIMORE MIDWAY,EVAN HELFRICH,,"October 6, 2020",,,
6158A036,HIGHLAND,530,N,AV,21205,ELLWOOD PARK/MONUMENT,EVAN HELFRICH,,"October 15, 2019",,,
2401A016,NORTH,2731,W,AVE,21216,COPPIN HEIGHTS/ASH-CO-EAST,JAMES FARLEY,,"December 3, 2019",,,
2401A011,NORTH,2721,W,AVE,21216,COPPIN HEIGHTS/ASH-CO-EAST,JAMES FARLEY,,"October 2, 2019",,,
5214A006,OLD YORK,4743,,ROAD,21212,RICHNOR SPRINGS,KENT GRASSO,,"August 6, 2019",,,
5183C006,MIDWOOD,5017,,AVE,21212,KENILWORTH PARK,KENT GRASSO,,"July 6, 2021",,,
3836A082,BARCLAY,2607,,ST,21218,HARWOOD,KENT GRASSO,Harwood,"June 18, 2019",,,
3942044,HILLEN,2835,,ROAD,21218,COLDSTREAM HOMESTEAD MONTEBELL,DORIS WEIL,,"October 6, 2020",,,
7841A027,GRIFFIS,2031,,AVE,21230,MORRELL PARK,PAUL OMALLEY,,"January 14, 2020",,,
3836B035,BARCLAY,2505,,ST,21218,HARWOOD,KENT GRASSO,,"November 3, 2020",,,
2485046,GRANTLEY,607,N,ST,21229,EDMONDSON VILLAGE,PAUL OMALLEY,,"October 8, 2019",,,
0152007,STRICKER,313,N,ST,21223,FRANKLIN SQUARE,SHEA BEITLER-AKMAN,Franklin Square Elementary,"November 5, 2019",,,
1651033,CHESTER,518,N,ST,21205,MIDDLE EAST,EVAN HELFRICH,500 blk Castle St,"August 20, 2019",,,
2402023,NORTH,2741,W,AVE,21216,COPPIN HEIGHTS/ASH-CO-EAST,JAMES FARLEY,,"July 6, 2021",,,
0234017,HOLLINS,1133,,ST,21223,HOLLINS MARKET,SHEA BEITLER-AKMAN,,"September 29, 2020",,,
1672072,ORLEANS,2400,,ST,21224,MCELDERRY PARK,EVAN HELFRICH,Port Jefferson,"October 6, 2020",,,
0074010,MOUNT,945,N,ST,21217,SANDTOWN-WINCHESTER,JAMES FARLEY,Western District Station,"December 17, 2019",,,
0074012,MOUNT,949,N,ST,21217,SANDTOWN-WINCHESTER,JAMES FARLEY,Western District Station,"February 25, 2020",,,
0108010,FULTON,618,N,AVE,21217,HARLEM PARK,JAMES FARLEY,,"January 14, 2020",,,
0122064,FRANKLIN,1616,W,ST,21223,HARLEM PARK,JAMES FARLEY,,"October 29, 2019",,,
2441015,ELLAMONT,1628,N,ST,21216,ROSEMONT,JAMES FARLEY,,"September 29, 2020",,,
1126059,BOND,1538,N,ST,21213,OLIVER,EVAN HELFRICH,Upper Caroline St.,"October 1, 2019",,,
4028A015,HARFORD,2112,,RD,21218,EAST BALTIMORE MIDWAY,EVAN HELFRICH,,"October 22, 2019",,,
4028A011,HARFORD,2104,,RD,21218,EAST BALTIMORE MIDWAY,EVAN HELFRICH,,"October 6, 2020",,,
4028A016,HARFORD,2114,,RD,21218,EAST BALTIMORE MIDWAY,EVAN HELFRICH,,"August 13, 2019",,,
4028A013,HARFORD,2108,,RD,21218,EAST BALTIMORE MIDWAY,EVAN HELFRICH,,"October 8, 2019",,,
1607007,PATTERSON PK,813,N,AV,21205,MILTON-MONTFORD,EVAN HELFRICH,Ashland - Patterson Park,"December 17, 2019",,,
0123042,GILMOR,515,N,ST,21223,HARLEM PARK,JAMES FARLEY,,"October 29, 2019",,,
0123016,STRICKER,530,N,ST,21223,HARLEM PARK,JAMES FARLEY,,"January 14, 2020",,,
0122017,GILMOR,534,N,ST,21223,HARLEM PARK,JAMES FARLEY,,"January 7, 2020",,,
0123037,GILMOR,525,N,ST,21223,HARLEM PARK,JAMES FARLEY,,"December 17, 2019",,,
0192078,FAIRMOUNT,1924,W,AV,21223,PENROSE/FAYETTE STREET OUTREAC,BLAIR GRIFFITH,1900 Fairmount,"July 16, 2019",,,
8019013,OLD ORCHARD,410,,RD,21229,TEN HILLS,BLAIR GRIFFITH,,"June 18, 2019",,,
0338035,LAURENS,575,,ST,21217,UPTON,EILEEN MURPHY,,"December 3, 2019",,,
0110052,EDMONDSON,1608,,AVE,21223,HARLEM PARK,PAUL OMALLEY,1600 Edmondson,"June 4, 2019",,,
3024012A,WINDSOR,2817,,AVE,21216,PANWAY/BRADDISH AVENUE,BLAIR GRIFFITH,,"July 23, 2019",,,
4616083,OAKLEY,2929,,AV,21215,CENTRAL PARK HEIGHTS,BLAIR GRIFFITH,2900- 3000 Oakley Ave,"July 16, 2019",,,
4616084,OAKLEY,2927,,AV,21215,CENTRAL PARK HEIGHTS,BLAIR GRIFFITH,2900- 3000 Oakley Ave,"September 22, 2020",,,
4616082,OAKLEY,2931,,AV,21215,CENTRAL PARK HEIGHTS,BLAIR GRIFFITH,2900- 3000 Oakley Ave,"July 16, 2019",,,
4616085,OAKLEY,2925,,AV,21215,CENTRAL PARK HEIGHTS,BLAIR GRIFFITH,2900- 3000 Oakley Ave,"September 23, 2019",,,
4616086,OAKLEY,2923,,AV,21215,CENTRAL PARK HEIGHTS,BLAIR GRIFFITH,2900- 3000 Oakley Ave,"December 17, 2019",,,
5197012A,OAKLAND,549,,AVE,21212,WILSON PARK,KENT GRASSO,,"January 21, 2020",,,
5170005,BEAUMONT,910,,AVE,21212,KENILWORTH PARK,KENT GRASSO,,"January 7, 2020",,,
1693017,LAKEWOOD,233,N,AV,21224,MCELDERRY PARK,EVAN HELFRICH,Helfrich Special,"December 3, 2019",,,
1553031,PATTERSON PK,1108,N,AV,21213,MIDDLE EAST,EVAN HELFRICH,2100-2200 Biddle,"August 6, 2019",,,
1553034,PATTERSON PK,1114,N,AV,21213,MIDDLE EAST,EVAN HELFRICH,2100-2200 Biddle,"August 6, 2019",,,
1606001,COLLINGTON,803,N,AV,21205,MIDDLE EAST,EVAN HELFRICH,,"October 8, 2019",,,
4589035,PEMBRIDGE,5132,,AV,21215,CENTRAL PARK HEIGHTS,BLAIR GRIFFITH,,"December 17, 2019",,,
3234015F,BRYANT,2313,,AVE,21217,PARKVIEW/WOODBROOK,JAMES FARLEY,,"October 27, 2020",,,
3243012,WHITTIER,2213,,AVE,21217,PARKVIEW/WOODBROOK,JAMES FARLEY,,"December 10, 2019",,,
3238005,REISTERSTOWN,2609,,ROAD,21217,PARKVIEW/WOODBROOK,JAMES FARLEY,,"December 10, 2019",,,
3844100,28TH,343,E,ST,21218,HARWOOD,KENT GRASSO,,"January 21, 2020",,,
3814061,21ST,414,E,ST,21218,BARCLAY,KENT GRASSO,,"January 28, 2020",,,
3824042,23RD,424,E,ST,21218,BARCLAY,KENT GRASSO,,"November 19, 2019",,,
3855014,GREENMOUNT,2952,,AVE,21218,ABELL,KENT GRASSO,,"March 10, 2020",,,
3855017,GREENMOUNT,2958,,AVE,21218,ABELL,KENT GRASSO,,"March 10, 2020",,,
2364001,LAFAYETTE,2501,W,AVE,21216,BRIDGEVIEW/GREENLAWN,JAMES FARLEY,,"January 7, 2020",,,
5183027,COLD SPRING,728,E,LANE,21212,RICHNOR SPRINGS,KENT GRASSO,,"January 28, 2020",,,
5173070,CHATEAU,527,,AVE,21212,WINSTON-GOVANS,KENT GRASSO,,"December 3, 2019",,,
3463E015E,BROOKFIELD,2514,,AVE,21217,RESERVOIR HILL,EILEEN MURPHY,Reservoir Hill,"July 16, 2019",,,
5140A014,GOVANE,5619,,AVE,21212,MID-GOVANS,KENT GRASSO,,"December 3, 2019",,,
7615017,ROUNDVIEW,454,,ROAD,21225,CHERRY HILL,SHEA BEITLER-AKMAN,,"January 21, 2020",,,
4179P083,ELMORA,3740,,AVE,21213,BELAIR-EDISON,STEVEN HOMOLA,,"September 24, 2019",,,
5212B044,OLD YORK,4738,,ROAD,21212,RICHNOR SPRINGS,KENT GRASSO,,"January 21, 2020",,,
3511056,33RD,856,W,ST,21211,HAMPDEN,KENT GRASSO,,"July 6, 2021",,,
3232A016,OREM,2307,,AVE,21217,PARKVIEW/WOODBROOK,JAMES FARLEY,,"January 14, 2020",,,
2402056,ASHBURTON,1702,,ST,21216,COPPIN HEIGHTS/ASH-CO-EAST,JAMES FARLEY,,"September 29, 2020",,,
5215018,RICHWOOD,610,,AVE,21212,RICHNOR SPRINGS,KENT GRASSO,,"February 11, 2020",,,
3406035,WOODBROOK,2452,,AVE,21217,PENN NORTH,JAMES FARLEY,,"January 21, 2020",,,
0018033,PAYSON,1520,N,ST,21217,EASTERWOOD,JAMES FARLEY,,"April 6, 2021",,,
2349004,ARUNAH,2306,,AVE,21216,EVERGREEN LAWN,JAMES FARLEY,,"September 29, 2020",,,
6166084,HIGHLAND,639,N,AV,21205,ELLWOOD PARK/MONUMENT,EVAN HELFRICH,,"January 14, 2020",,,
2306A042,PRESBURY,2410,,ST,21216,COPPIN HEIGHTS/ASH-CO-EAST,JAMES FARLEY,,"January 7, 2020",,,
1125036,FEDERAL,1431,E,ST,21213,OLIVER,EVAN HELFRICH,Upper Caroline St.,"December 10, 2019",,,
1127049,BROADWAY,1520,N,,21213,OLIVER,EVAN HELFRICH,1500-1600 Broaway,"December 17, 2019",,,
1127047,BROADWAY,1524,N,,21213,OLIVER,EVAN HELFRICH,1500-1600 Broaway,"February 18, 2020",,,
1127048,BROADWAY,1522,N,,21213,OLIVER,EVAN HELFRICH,1500-1600 Broaway,"February 18, 2020",,,
7225031,LOCUST,1623,,ST,21226,CURTIS BAY,SHEA BEITLER-AKMAN,,"November 17, 2020",,,
3024023,CLIFTON,2826,,AVE,21216,PANWAY/BRADDISH AVENUE,JAMES FARLEY,,"November 17, 2020",,,
3263020,LIBERTY HEIGHTS,2601,,AVE,21215,BURLEITH-LEIGHTON,JAMES FARLEY,,"February 11, 2020",,,
2520A003,WOODINGTON,905,N,ROAD,21229,EDMONDSON VILLAGE,PAUL OMALLEY,,"January 14, 2020",,,
0298100,SANFORD,505,,PL,21217,DRUID HEIGHTS,EILEEN MURPHY,,"March 3, 2020",,,
0298099,SANFORD,507,,PL,21217,DRUID HEIGHTS,EILEEN MURPHY,,"August 3, 2021",,,
1494044,OLIVER,1751,E,ST,21213,BROADWAY EAST,EVAN HELFRICH,,"April 6, 2021",,,
1494022,OLIVER,1707,E,ST,21213,BROADWAY EAST,EVAN HELFRICH,Oliver Expansion,"December 17, 2019",,,
1494041,OLIVER,1745,E,ST,21213,BROADWAY EAST,EVAN HELFRICH,,"December 17, 2019",,,
1494036,OLIVER,1735,E,ST,21213,BROADWAY EAST,EVAN HELFRICH,,"February 4, 2020",,,
3262C005,TIOGA,3108,,PKWY,21215,BURLEITH-LEIGHTON,JAMES FARLEY,,"April 20, 2021",,,
2538029,WALRAD,4030,,ST,21229,IRVINGTON,PAUL OMALLEY,,"May 25, 2021",,,
3238006,REISTERSTOWN,2611,,ROAD,21217,PARKVIEW/WOODBROOK,JAMES FARLEY,,"May 18, 2021",,,
5551001A,WOODHOME,3003,,AVE,21234,WOODRING,STEVEN HOMOLA,,"November 17, 2020",,,
5804102,ROSS,5006,,ROAD,21214,WALTHERSON,STEVEN HOMOLA,,"June 1, 2021",,,
5930062,SHELDON,4248,,AVE,21206,BELAIR-EDISON,STEVEN HOMOLA,,"June 1, 2021",,,
5695015,WHITE,4122,,AVE,21206,GLENHAM-BELFORD,STEVEN HOMOLA,,"October 27, 2020",,,
5923044,BRENDAN,3338,,AVE,21213,BELAIR-EDISON,STEVEN HOMOLA,,"June 1, 2021",,,
5919049,DUDLEY,3318,,AVE,21213,BELAIR-EDISON,STEVEN HOMOLA,,"October 27, 2020",,,
3941B056,32ND,2035,E,ST,21218,COLDSTREAM HOMESTEAD MONTEBELL,STEVEN HOMOLA,,"October 28, 2020",,,
3457039,CALLOW,2412,,AVE,21217,RESERVOIR HILL,EILEEN MURPHY,Reservoir Hill,"July 20, 2021",,,
4188B036,CLIFTMONT,3129,,AVE,21213,BELAIR-EDISON,STEVEN HOMOLA,,"April 20, 2021",,,
3806047,21ST,335,E,ST,21218,BARCLAY,KENT GRASSO,Barclay Phase 8,"March 3, 2020",,,
3836A012,27TH,439,E,ST,21218,HARWOOD,KENT GRASSO,Harwood,"June 22, 2021",,,
5915005,CHESTERFIELD,3109,,AVE,21213,BELAIR-EDISON,STEVEN HOMOLA,,"June 1, 2021",,,
4092004A,30TH,910,E,ST,21218,BETTER WAVERLY,KENT GRASSO,,"July 6, 2021",,,
5898H003J,BELAIR,4408,,ROAD,21206,ARCADIA,STEVEN HOMOLA,,"June 1, 2021",,,
4188B025,CLIFTMONT,3107,,AVE,21213,BELAIR-EDISON,STEVEN HOMOLA,,"January 14, 2020",,,
4188B060,CLIFTMONT,3130,,AVE,21213,BELAIR-EDISON,STEVEN HOMOLA,,"April 20, 2021",,,
2350034,BENTALOU,834,N,ST,21216,BRIDGEVIEW/GREENLAWN,JAMES FARLEY,,"April 6, 2021",,,
4019031,22ND,511,E,ST,21218,EAST BALTIMORE MIDWAY,EVAN HELFRICH,,"January 14, 2020",,,
3006016,NORTH,2796,W,AVE,21216,WALBROOK,JAMES FARLEY,,"December 17, 2019",,,
6072A026,CEDONIA,5412,,AVE,21206,CEDONIA,STEVEN HOMOLA,,"March 15, 2021",,,
2544010,(Descriptive Address),4209,,,21229,IRVINGTON,PAUL OMALLEY,,"March 16, 2021",,,
0390015,NORTH,131,E,AVE,21202,GREENMOUNT WEST,GREGORY FOX,Greenmount West,"June 8, 2021",,,
5788012,FRANKFORD,3501,,AVE,21214,WALTHERSON,STEVEN HOMOLA,,"July 13, 2021",,,
3301078,DUPONT,3411,,AV,21215,CENTRAL PARK HEIGHTS,BLAIR GRIFFITH,,"September 22, 2020",,,
1506086,LLEWELYN,2612,,AV,21213,BEREA,EVAN HELFRICH,,"October 6, 2020",,,
4511A044,CORDELIA,5333,,AVE,21215,ARLINGTON,BLAIR GRIFFITH,,"June 1, 2021",,,
4010N021,GARRETT,2314,,AV,21218,EAST BALTIMORE MIDWAY,EVAN HELFRICH,,"June 29, 2021",,,
2735004,MAINE,3919,,AV,21207,CENTRAL FOREST PARK,BLAIR GRIFFITH,,"December 3, 2019",,,
1118009,BOND,1617,N,ST,21213,OLIVER,EVAN HELFRICH,Upper Caroline St.,"March 10, 2020",,,
4587041,SPAULDING,3043,,AV,21215,CENTRAL PARK HEIGHTS,BLAIR GRIFFITH,,"April 6, 2021",,,
4587040,SPAULDING,3045,,AV,21215,,BLAIR GRIFFITH,,"May 18, 2021",,,
3057009,GARRISON,2305,,BLVD,21216,,BLAIR GRIFFITH,,"April 6, 2021",,,
3057010,GARRISON,2307,,BLVD,21216,,BLAIR GRIFFITH,,"April 6, 2021",,,
2931004,EGERTON,3705,,ROAD,21215,CALLAWAY-GARRISON,BLAIR GRIFFITH,,"January 28, 2020",,,
4039031,23RD,515,E,ST,21218,,EVAN HELFRICH,,"July 13, 2021",,,
2717002,BOARMAN,4002,,AV,21215,,BLAIR GRIFFITH,,"June 1, 2021",,,
