X,Y,OBJECTID,OBJECTID_1,ID_RS_Web,BLOCKLOT,Address,DateFiled,ReceiverAppointed,DateAuction,SoldAtAuction,Neighborhood,Council_District,HousingMarketTypology2017
1402330.58807088,612382.324371308,550,875544,6730,4544C017,3613 HAYWARD AVE,2021/08/04 00:00:00+00,,,,ARLINGTON                                ,5,I
1403065.02262564,612705.855876476,551,875815,5670,4552 128,5215 ELMER AVE,2020/11/12 00:00:00+00,2021/04/07 00:00:00+00,2021/06/08 00:00:00+00,2021/06/08 00:00:00+00,ARLINGTON                                ,5,I
1402801.36796921,611739.906364813,552,876071,6715,4575 019,3703 W BELVEDERE AVE,2020/11/12 00:00:00+00,,,,LANGSTON HUGHES                          ,6,I
1403717.25754164,612227.818774804,553,876362,5534,4580 035,3306 SPAULDING AVE,2021/08/02 00:00:00+00,,2022/02/22 00:00:00+00,2022/02/22 00:00:00+00,CENTRAL PARK HEIGHTS                     ,6,I
1404893.5412783,612550.488733143,554,876496,5682,4585 002,3102 W GARRISON AVE,2018/07/11 00:00:00+00,2018/05/30 00:00:00+00,2018/12/11 00:00:00+00,,CENTRAL PARK HEIGHTS                     ,6,I
1404642.23403814,612781.199557811,555,876595,6633,4587 027,3069 SPAULDING AVE,2019/11/21 00:00:00+00,,,,CENTRAL PARK HEIGHTS                     ,6,I
1404689.3015293,612816.702111483,556,876598,6900,4587 031,3063 SPAULDING AVE,2020/11/12 00:00:00+00,,2021/10/12 00:00:00+00,2021/10/12 00:00:00+00,CENTRAL PARK HEIGHTS                     ,6,I
1404746.7088948,612857.317515805,557,876603,7077,4587 036,3053 SPAULDING AVE,2020/02/05 00:00:00+00,,2021/10/12 00:00:00+00,2021/10/12 00:00:00+00,CENTRAL PARK HEIGHTS                     ,6,I
1404758.47068231,612865.631147474,558,876604,6901,4587 037,3051 SPAULDING AVE,2020/11/12 00:00:00+00,,2021/12/07 00:00:00+00,2021/12/07 00:00:00+00,CENTRAL PARK HEIGHTS                     ,6,I
1404793.1379358,612890.170468479,559,876607,6929,4587 040,3045 SPAULDING AVE,2020/11/12 00:00:00+00,2021/05/19 00:00:00+00,2022/02/22 00:00:00+00,,CENTRAL PARK HEIGHTS                     ,6,I
1404804.53850356,612898.224914312,560,876608,6632,4587 041,3043 SPAULDING AVE,2020/02/03 00:00:00+00,2021/04/07 00:00:00+00,2022/02/22 00:00:00+00,2022/02/22 00:00:00+00,CENTRAL PARK HEIGHTS                     ,6,I
1404948.34333405,613000.333633974,561,876618,6930,4587 051,3023 SPAULDING AVE,2020/11/12 00:00:00+00,,2022/02/22 00:00:00+00,2022/02/22 00:00:00+00,CENTRAL PARK HEIGHTS                     ,6,I
1403171.83113906,610852.948821142,562,877095,4980,4600 029,4909 CORDELIA AVE,2019/06/17 00:00:00+00,2019/08/21 00:00:00+00,2019/12/10 00:00:00+00,,LANGSTON HUGHES                          ,6,I
1403993.10902405,611598.6451644,563,877225,6905,4603 016,3501 OAKMONT AVE,2021/06/29 00:00:00+00,,,,CENTRAL PARK HEIGHTS                     ,6,I
1405483.25532196,612488.63977547,564,877734,5756,4613 001A,3002 OAKLEY AVE,2018/11/19 00:00:00+00,2019/03/20 00:00:00+00,2020/10/27 00:00:00+00,2020/10/27 00:00:00+00,CENTRAL PARK HEIGHTS                     ,6,I
1405077.02581947,612504.349389732,565,877757,5421,4613 011,3031 W GARRISON AVE,2018/08/14 00:00:00+00,2019/04/24 00:00:00+00,2021/06/08 00:00:00+00,,CENTRAL PARK HEIGHTS                     ,6,I
1405092.33090697,612515.667608559,566,877758,5415,4613 012,3029 W GARRISON AVE,2018/08/14 00:00:00+00,,,,CENTRAL PARK HEIGHTS                     ,6,I
1405638.04405439,612613.601139724,567,877789,5398,4614 004,2922 OAKLEY AVE,2018/08/15 00:00:00+00,2019/06/26 00:00:00+00,2021/06/08 00:00:00+00,,CENTRAL PARK HEIGHTS                     ,6,I
1405546.90972222,612346.717159063,568,877924,5272,4616 072,3019 OAKLEY AVE,2017/11/30 00:00:00+00,2018/01/17 00:00:00+00,2019/08/13 00:00:00+00,,CENTRAL PARK HEIGHTS                     ,6,I
1405760.56579097,612518.286369726,569,877937,6252,4616 085,2925 OAKLEY AVE,2019/05/16 00:00:00+00,2019/09/24 00:00:00+00,,,CENTRAL PARK HEIGHTS                     ,6,I
1405887.45103589,612619.065695733,570,877945,5360,4616 093,2909 OAKLEY AVE,2018/02/01 00:00:00+00,2018/08/29 00:00:00+00,,,CENTRAL PARK HEIGHTS                     ,6,I
1405871.42219655,612312.232319891,571,877967,6721,4616 098Q,4822 PIMLICO ROAD,2021/06/29 00:00:00+00,,,,CENTRAL PARK HEIGHTS                     ,6,I
1405863.13218689,612264.893831894,572,877970,6720,4616 098T,4816 PIMLICO ROAD,2021/06/29 00:00:00+00,,,,CENTRAL PARK HEIGHTS                     ,6,I
1406034.44024321,613585.621177316,573,880042,6428,4744 051,2719 SPAULDING AVE,2020/03/03 00:00:00+00,,2022/02/22 00:00:00+00,2022/02/23 00:00:00+00,LEVINDALE                                ,6,F
1407017.34838238,610399.252221972,574,882853,5664,4812 068,4600 PALL MALL ROAD,2019/08/13 00:00:00+00,,,,PARKLANE                                 ,6,H
1407208.43658289,610691.394682303,575,882913,6712,4813B033,2927 EDGECOMBE CIRCLE NORTH ,2021/05/25 00:00:00+00,,2021/10/12 00:00:00+00,2021/10/12 00:00:00+00,PARKLANE                                 ,6,I
1413839.9170863,612340.815596059,576,884301,4784,4911A015,4711 FALLS ROAD,2017/03/02 00:00:00+00,2017/11/03 00:00:00+00,,,ROLAND PARK                              ,6,A
1420545.30787498,618443.515660971,577,886306,6103,4983G001,5437 SPRINGLAKE WAY,2019/04/11 00:00:00+00,,,,HOMELAND                                 ,4,B
1420597.57319039,618050.191644475,578,886312,5944,4983G007,5425 SPRINGLAKE WAY,2019/01/23 00:00:00+00,2019/06/12 00:00:00+00,,,HOMELAND                                 ,4,B
1421283.27752763,617372.225808814,579,886331,5243,4983G027,312 TAPLOW ROAD,2017/12/29 00:00:00+00,,,,HOMELAND                                 ,4,B
1422650.9742673,611583.105497316,580,887743,6259,5053 017,4632 YORK ROAD,2019/07/16 00:00:00+00,,,,KERNEWOOD                                ,4,A
1422647.57893288,611722.573066145,581,887751,6356,5053 026,4652 YORK ROAD,2019/10/29 00:00:00+00,,,,KERNEWOOD                                ,4,A
1422647.0569523,611751.127799064,582,961349,4766,5053 028,4656 YORK ROAD,2017/04/12 00:00:00+00,,,,KERNEWOOD,4,A
1422646.55662522,611765.528688893,583,887753,4765,5053 029,4658 YORK ROAD,2017/04/12 00:00:00+00,,,,KERNEWOOD                                ,4,A
1422645.12847847,611821.830085471,584,887756,4129,5053 033,4666 YORK ROAD,2016/08/30 00:00:00+00,2018/08/29 00:00:00+00,2019/08/13 00:00:00+00,2019/08/13 00:00:00+00,KERNEWOOD                                ,4,A
1424326.64020731,620668.052222401,585,889115,6097,5126 022,723 HOLLEN ROAD,2019/04/11 00:00:00+00,2019/06/05 00:00:00+00,,,LAKE WALKER                              ,4,E
1423018.56867647,616332.843045056,586,892331,4029,5148A043,5617 READY AVE,2016/03/24 00:00:00+00,2017/11/08 00:00:00+00,,,MID-GOVANS                               ,4,F
1422813.38240705,615755.096169055,587,892410,6534,5149 024,504 TUNBRIDGE ROAD,2020/02/12 00:00:00+00,,,,MID-GOVANS                               ,4,F
1423024.23401947,615521.723276228,588,892473,5678,5152 015,5410 READY AVE,2019/02/05 00:00:00+00,,,,MID-GOVANS                               ,4,F
1423049.02366805,615592.379302889,589,892475,6147,5152 017,529 TUNBRIDGE ROAD,2019/04/25 00:00:00+00,,,,MID-GOVANS                               ,4,F
1422751.59086397,615587.141124398,590,892486,6635,5152 028,507 TUNBRIDGE ROAD,2021/06/04 00:00:00+00,,,,MID-GOVANS                               ,4,F
1423818.69174814,615271.309078887,591,892512,6313,5152A015,702 WOODBOURNE AVE,2019/09/16 00:00:00+00,,2022/02/22 00:00:00+00,,MID-GOVANS                               ,4,F
1422901.13846514,614913.029283643,592,892576,6359,5158 046,519 SHERIDAN AVE,2019/10/24 00:00:00+00,,,,WOODBOURNE-MCCABE                        ,4,H
1423068.68045288,614995.457268387,593,892605,4761,5158 069,538 SHERIDAN AVE,2018/03/16 00:00:00+00,2019/10/30 00:00:00+00,2019/12/10 00:00:00+00,,WOODBOURNE-MCCABE                        ,4,H
