,BLOCKLOT,VAC:PROG,VAC:Neighborhood,VAC:Typology
2914,3000004,1,WALBROOK,H
2915,0019068H,1,EASTERWOOD,I
2916,3004008,1,WALBROOK,H
2917,0053057,1,SANDTOWN-WINCHESTER,H
2918,2179009,1,SHIPLEY HILL,J
2919,0075033,1,SANDTOWN-WINCHESTER,J
2920,0076005,1,SANDTOWN-WINCHESTER,J
2921,0095100,1,MIDTOWN-EDMONDSON,J
2922,1183026,1,JOHNSTON SQUARE,H
2923,0055B007,1,SANDTOWN-WINCHESTER,H
2924,2443B010,1,WINCHESTER,I
2925,2482B044,1,FRANKLINTOWN ROAD,J
2926,2475E028,1,FRANKLINTOWN ROAD,I
2927,0095047,1,MIDTOWN-EDMONDSON,J
2928,1463034,1,BROADWAY EAST,J
2929,0179050,1,FRANKLIN SQUARE,G
2930,0148034,1,FRANKLIN SQUARE,J
2931,1455062,1,BEREA,I
2932,0702026,1,CARROLLTON RIDGE,J
2933,0205041,1,BOYD-BOOTH,J
2934,0149003,1,FRANKLIN SQUARE,J
2935,1101092,1,OLIVER,I
2936,1101089,1,OLIVER,I
2937,2451064,1,ROSEMONT,I
2938,0206014,1,BOYD-BOOTH,J
2939,0145028,1,PENROSE/FAYETTE STREET OUTREACH,I
2940,3004062,1,WALBROOK,H
2941,0299004,1,DRUID HEIGHTS,I
2942,0193028,1,FRANKLIN SQUARE,J
2943,2174A043,1,SHIPLEY HILL,J
2944,0696008,1,CARROLLTON RIDGE,J
2945,7245C028B,1,BROOKLYN,H
2946,0260044,1,CARROLLTON RIDGE,I
2947,0145042,1,PENROSE/FAYETTE STREET OUTREACH,I
2948,0271076,1,CARROLLTON RIDGE,J
2949,0175099,1,PENROSE/FAYETTE STREET OUTREACH,J
2950,1121042,1,OLIVER,H
2951,4005052,1,EAST BALTIMORE MIDWAY,J
2952,0275013,1,CARROLLTON RIDGE,J
2953,2138024,1,MILLHILL,I
2954,0223033,1,BOYD-BOOTH,J
2955,0055C051,1,SANDTOWN-WINCHESTER,J
2956,0289040,1,CARROLLTON RIDGE,J
2957,0273016,1,CARROLLTON RIDGE,J
2958,0308002,1,DRUID HEIGHTS,I
2959,0415017,1,UPTON,H
2960,2475D051,1,FRANKLINTOWN ROAD,I
2961,1623011,1,MILTON-MONTFORD,I
2962,3415029,1,PENN NORTH,I
2963,4129022,1,COLDSTREAM HOMESTEAD MONTEBELLO,J
2964,3826014,1,BARCLAY,G
2965,2406084,1,NORTHWEST COMMUNITY ACTION,I
2966,1572024,1,BIDDLE STREET,J
2967,0190076,1,PENROSE/FAYETTE STREET OUTREACH,J
2968,2216046,1,PENROSE/FAYETTE STREET OUTREACH,J
2969,0279046,1,NEW SOUTHWEST/MOUNT CLARE,I
2970,7118009,1,BROOKLYN,I
2971,0065002,1,SANDTOWN-WINCHESTER,I
2972,3176004,1,PARK CIRCLE,I
2973,3176008,1,PARK CIRCLE,I
2974,0076009,1,SANDTOWN-WINCHESTER,J
2975,2140017,1,MILLHILL,I
2976,0258045,1,CARROLLTON RIDGE,J
2977,1555053,1,BIDDLE STREET,J
2978,4127063,1,COLDSTREAM HOMESTEAD MONTEBELLO,J
2979,3014008,1,WALBROOK,H
2980,2319045,1,COPPIN HEIGHTS/ASH-CO-EAST,I
2981,2424B040,1,ROSEMONT,I
2982,2174A068,1,SHIPLEY HILL,J
2983,0249053,1,HOLLINS MARKET,F
2984,0698063,1,CARROLLTON RIDGE,J
2985,1505046,1,BEREA,J
2986,3324025,1,PARK CIRCLE,I
2987,2396B012,1,MOSHER,I
2988,0272084,1,CARROLLTON RIDGE,J
2989,0695002,1,CARROLLTON RIDGE,I
2990,0276097,1,NEW SOUTHWEST/MOUNT CLARE,J
2991,0242047,1,CARROLLTON RIDGE,J
2992,1172042,1,JOHNSTON SQUARE,H
2993,0204090,1,BOYD-BOOTH,J
2994,0204097,1,BOYD-BOOTH,J
2995,3825046,1,BARCLAY,G
2996,0698008,1,CARROLLTON RIDGE,J
2997,2165050,1,PENROSE/FAYETTE STREET OUTREACH,I
2998,2164004D,1,PENROSE/FAYETTE STREET OUTREACH,I
2999,0149005,1,FRANKLIN SQUARE,J
3000,1121015,1,OLIVER,H
3001,1464053,1,BROADWAY EAST,J
3002,1504029,1,BROADWAY EAST,J
3003,3347D031,1,GREENSPRING,I
3004,0221047,1,SHIPLEY HILL,J
3005,1454065,1,BROADWAY EAST,J
3006,1454064,1,BROADWAY EAST,J
3007,0247051,1,UNION SQUARE,E
3008,0163067,1,FRANKLIN SQUARE,J
3009,0697051,1,CARROLLTON RIDGE,J
3010,4108011,1,COLDSTREAM HOMESTEAD MONTEBELLO,H
3011,0193036,1,FRANKLIN SQUARE,J
3012,0128052,1,HARLEM PARK,I
3013,3039008,1,WALBROOK,H
3014,0062028,1,SANDTOWN-WINCHESTER,J
3015,4129054,1,COLDSTREAM HOMESTEAD MONTEBELLO,J
3016,2441007,1,ROSEMONT,I
3017,2386002,1,MOSHER,I
3018,0151042,1,FRANKLIN SQUARE,J
3019,2134042,1,GWYNNS FALLS,H
3020,3815049,1,BARCLAY,G
3021,4616114,1,CENTRAL PARK HEIGHTS,I
3022,7643075,1,CHERRY HILL,G
3023,3209076,1,MONDAWMIN,J
3024,2332D045,1,NORTHWEST COMMUNITY ACTION,I
3025,4010D010,1,EAST BALTIMORE MIDWAY,J
3026,2140062,1,MILLHILL,I
3027,0239030,1,CARROLLTON RIDGE,J
3028,3177040,1,PARK CIRCLE,I
3029,0087001,1,HARLEM PARK,J
3030,2195039,1,CARROLL-SOUTH HILTON,H
3031,0175101,1,PENROSE/FAYETTE STREET OUTREACH,J
3032,0272095,1,CARROLLTON RIDGE,J
3033,2445009,1,FRANKLINTOWN ROAD,I
3034,1099B103,1,OLIVER,J
3035,2206A013,1,ROSEMONT HOMEOWNERS/TENANTS,I
3036,2170B009,1,SHIPLEY HILL,J
3037,0105007,1,MIDTOWN-EDMONDSON,I
3038,0192038,1,PENROSE/FAYETTE STREET OUTREACH,J
3039,1180027,1,JOHNSTON SQUARE,J
3040,4010B002,1,EAST BALTIMORE MIDWAY,J
3041,2406070,1,NORTHWEST COMMUNITY ACTION,I
3042,1484006,1,BROADWAY EAST,J
3043,1448022,1,BROADWAY EAST,I
3044,2243C011,1,SAINT JOSEPHS,I
3045,4012050,1,EAST BALTIMORE MIDWAY,J
3046,0348032,1,UPTON,H
3047,3823050,1,BARCLAY,E
3048,0063003,1,SANDTOWN-WINCHESTER,J
3049,0178025,1,FRANKLIN SQUARE,J
3050,1172041,1,JOHNSTON SQUARE,H
3051,0065019,1,SANDTOWN-WINCHESTER,I
3052,0077011,1,SANDTOWN-WINCHESTER,I
3053,0055D060,1,SANDTOWN-WINCHESTER,J
3054,0064012,1,SANDTOWN-WINCHESTER,H
3055,0064007,1,SANDTOWN-WINCHESTER,H
3056,0064003,1,SANDTOWN-WINCHESTER,H
3057,0075035,1,SANDTOWN-WINCHESTER,J
3058,2153075,1,PENROSE/FAYETTE STREET OUTREACH,I
3059,0074033,1,SANDTOWN-WINCHESTER,I
3060,0123040,1,HARLEM PARK,I
3061,0065077,1,SANDTOWN-WINCHESTER,J
3062,0062032,1,SANDTOWN-WINCHESTER,J
3063,3954028,1,COLDSTREAM HOMESTEAD MONTEBELLO,H
3064,0074026,1,SANDTOWN-WINCHESTER,I
3065,0696106,1,CARROLLTON RIDGE,J
3066,0696105,1,CARROLLTON RIDGE,J
3067,0123026,1,HARLEM PARK,I
3068,4578012,1,CENTRAL PARK HEIGHTS,I
3069,0163073,1,FRANKLIN SQUARE,J
3070,0313011,1,UPTON,I
3071,0059053,1,SANDTOWN-WINCHESTER,J
3072,0177021,1,PENROSE/FAYETTE STREET OUTREACH,J
3073,1122031,1,OLIVER,H
3074,1122033,1,OLIVER,H
3075,1113037,1,OLIVER,G
3076,0273051,1,CARROLLTON RIDGE,J
3077,1478026,1,BROADWAY EAST,I
3078,0322023,1,DRUID HEIGHTS,E
3079,0162104,1,PENROSE/FAYETTE STREET OUTREACH,J
3080,1448018,1,BROADWAY EAST,I
3081,1101104,1,OLIVER,I
3082,1504016,1,BROADWAY EAST,J
3083,0178015,1,FRANKLIN SQUARE,J
3084,0204034,1,BOYD-BOOTH,J
3085,4577021,1,CENTRAL PARK HEIGHTS,J
3086,0148027,1,FRANKLIN SQUARE,J
3087,0163071,1,FRANKLIN SQUARE,J
3088,0115067,1,HARLEM PARK,I
3089,1099A020,1,OLIVER,J
3090,0392056,1,UPTON,G
3091,0394028,1,UPTON,G
3092,0394030,1,UPTON,G
3093,0394029,1,UPTON,G
3094,3347022,1,GREENSPRING,I
3095,1536086,1,BROADWAY EAST,J
3096,0090007,1,HARLEM PARK,I
3097,4013A004,1,EAST BALTIMORE MIDWAY,J
3098,0055D034,1,SANDTOWN-WINCHESTER,J
3099,1473051,1,BROADWAY EAST,J
3100,4130028C,1,COLDSTREAM HOMESTEAD MONTEBELLO,I
3101,4130031,1,COLDSTREAM HOMESTEAD MONTEBELLO,I
3102,0720036,1,CARROLLTON RIDGE,I
3103,4120010,1,COLDSTREAM HOMESTEAD MONTEBELLO,J
3104,2447016,1,FRANKLINTOWN ROAD,I
3105,1127023,1,OLIVER,I
3106,2174A011,1,SHIPLEY HILL,J
3107,0179051,1,FRANKLIN SQUARE,G
3108,0074045,1,SANDTOWN-WINCHESTER,I
3109,0129020,1,HARLEM PARK,I
3110,1448081,1,BROADWAY EAST,J
3111,2165052,1,PENROSE/FAYETTE STREET OUTREACH,I
3112,0129013,1,HARLEM PARK,I
3113,2470063,1,FRANKLINTOWN ROAD,I
3114,2808001,1,MOUNT HOLLY,E
3115,0149070,1,FRANKLIN SQUARE,J
3116,3322048,1,PARK CIRCLE,I
3117,0193094,1,FRANKLIN SQUARE,J
3118,0098028,1,HARLEM PARK,J
3119,0193069,1,FRANKLIN SQUARE,J
3120,4127030,1,COLDSTREAM HOMESTEAD MONTEBELLO,J
3121,0094002,1,MIDTOWN-EDMONDSON,J
3122,0179056,1,FRANKLIN SQUARE,G
3123,3342002,1,GREENSPRING,H
3124,0119068,1,MIDTOWN-EDMONDSON,J
3125,1099B105,1,OLIVER,J
3126,0280040,1,NEW SOUTHWEST/MOUNT CLARE,I
3127,1132050,1,OLIVER,H
3128,1657079,1,MCELDERRY PARK,I
3129,4589008,1,CENTRAL PARK HEIGHTS,I
3130,0205056,1,BOYD-BOOTH,J
3131,3206041,1,MONDAWMIN,J
3132,1478077,1,BROADWAY EAST,I
3133,1478074,1,BROADWAY EAST,I
3134,1478067,1,BROADWAY EAST,I
3135,1478084,1,BROADWAY EAST,I
3136,1145024,1,OLIVER,H
3137,4132005,1,COLDSTREAM HOMESTEAD MONTEBELLO,I
3138,0084044,1,HARLEM PARK,J
3139,1504050,1,BROADWAY EAST,J
3140,0276025,1,NEW SOUTHWEST/MOUNT CLARE,J
3141,3413042,1,PENN NORTH,I
3142,2406005,1,NORTHWEST COMMUNITY ACTION,I
3143,0151023,1,FRANKLIN SQUARE,J
3144,0151024,1,FRANKLIN SQUARE,J
3145,3322028,1,PARK CIRCLE,I
3146,4626A079,1,CENTRAL PARK HEIGHTS,I
3147,0152025,1,FRANKLIN SQUARE,J
3148,4544C047,1,ARLINGTON,I
3149,1503030,1,BROADWAY EAST,J
3150,0247046,1,UNION SQUARE,E
3151,0242006,1,CARROLLTON RIDGE,J
3152,2307A036,1,COPPIN HEIGHTS/ASH-CO-EAST,I
3153,0152002,1,FRANKLIN SQUARE,J
3154,0411027,1,UPTON,G
3155,1121029,1,OLIVER,H
3156,0777061,1,WASHINGTON VILLAGE/PIGTOWN,F
3157,0118046,1,MIDTOWN-EDMONDSON,J
3158,0087012,1,HARLEM PARK,J
3159,0242072,1,CARROLLTON RIDGE,J
3160,3815046,1,BARCLAY,G
3161,0702056,1,CARROLLTON RIDGE,J
3162,1499005,1,BROADWAY EAST,I
3163,0273011,1,CARROLLTON RIDGE,J
3164,3403046,1,PENN NORTH,I
3165,0271077,1,CARROLLTON RIDGE,J
3166,1503056,1,BROADWAY EAST,J
3167,0313010,1,UPTON,I
3168,0313014,1,UPTON,I
3169,2171043,1,SHIPLEY HILL,J
3170,2303003,1,COPPIN HEIGHTS/ASH-CO-EAST,I
3171,1629018F,1,MADISON-EASTEND,I
3172,2387012,1,MOSHER,I
3173,3301101B,1,CENTRAL PARK HEIGHTS,I
3174,3167029,1,PARK CIRCLE,I
3175,3327C038,1,PARK CIRCLE,G
3176,0087023,1,HARLEM PARK,J
3177,3347F019,1,GREENSPRING,I
3178,2481028,1,FRANKLINTOWN ROAD,J
3179,1122041,1,OLIVER,H
3180,1122045,1,OLIVER,H
3181,3341016,1,GREENSPRING,H
3182,4021B016,1,EAST BALTIMORE MIDWAY,J
3183,1459034,1,BROADWAY EAST,I
3184,0394025,1,UPTON,G
3185,0307003,1,DRUID HEIGHTS,I
3186,0328015,1,DRUID HEIGHTS,I
3187,0392029,1,UPTON,G
3188,0075009,1,SANDTOWN-WINCHESTER,J
3189,1452012,1,BROADWAY EAST,J
3190,1132049,1,OLIVER,H
3191,1122037,1,OLIVER,H
3192,0291011,1,CARROLLTON RIDGE,I
3193,2304007,1,COPPIN HEIGHTS/ASH-CO-EAST,I
3194,0119028,1,MIDTOWN-EDMONDSON,J
3195,0129088,1,HARLEM PARK,I
3196,0119018,1,MIDTOWN-EDMONDSON,J
3197,0150020,1,FRANKLIN SQUARE,J
3198,4157025,1,SOUTH CLIFTON PARK,J
3199,2401A040,1,COPPIN HEIGHTS/ASH-CO-EAST,I
3200,0058074,1,MIDTOWN-EDMONDSON,J
3201,3826043,1,BARCLAY,G
3202,2171064,1,SHIPLEY HILL,J
3203,4070A037,1,BETTER WAVERLY,J
3204,4070A036,1,BETTER WAVERLY,J
3205,3322027,1,PARK CIRCLE,I
3206,4024012,1,EAST BALTIMORE MIDWAY,I
3207,2391032,1,WINCHESTER,I
3208,0055C016,1,SANDTOWN-WINCHESTER,J
3209,4190A020,1,BELAIR-EDISON,H
3210,4005051,1,EAST BALTIMORE MIDWAY,J
3211,4616059,1,CENTRAL PARK HEIGHTS,I
3212,2332C002,1,NORTHWEST COMMUNITY ACTION,H
3213,1485049,1,BROADWAY EAST,J
3214,1503023,1,BROADWAY EAST,J
3215,1479053,1,BROADWAY EAST,I
3216,2205082,1,ROSEMONT HOMEOWNERS/TENANTS,I
3217,3347C057,1,GREENSPRING,I
3218,3301127,1,CENTRAL PARK HEIGHTS,I
3219,2382022,1,MOSHER,I
3220,0273065,1,CARROLLTON RIDGE,J
3221,0273050,1,CARROLLTON RIDGE,J
3222,3312027,1,CENTRAL PARK HEIGHTS,J
3223,1555038,1,BIDDLE STREET,J
3224,3347C058,1,GREENSPRING,I
3225,0053064,1,SANDTOWN-WINCHESTER,H
3226,0115068,1,HARLEM PARK,I
3227,2475F032,1,FRANKLINTOWN ROAD,I
3228,0703027,1,CARROLLTON RIDGE,J
3229,0119013,1,MIDTOWN-EDMONDSON,J
3230,2411024,1,NORTHWEST COMMUNITY ACTION,I
3231,2216040,1,PENROSE/FAYETTE STREET OUTREACH,J
3232,3301078,1,CENTRAL PARK HEIGHTS,I
3233,2177040,1,SHIPLEY HILL,J
3234,0273081,1,CARROLLTON RIDGE,J
3235,0239034,1,CARROLLTON RIDGE,J
3236,0094059,1,MIDTOWN-EDMONDSON,J
3237,0124060,1,HARLEM PARK,I
3238,0258036,1,CARROLLTON RIDGE,J
3239,1132035,1,OLIVER,H
3240,0396033,1,UPTON,H
3241,2470062,1,FRANKLINTOWN ROAD,I
3242,0094086,1,MIDTOWN-EDMONDSON,J
3243,2243B059,1,SAINT JOSEPHS,I
3244,2318011,1,COPPIN HEIGHTS/ASH-CO-EAST,I
3245,2332C024,1,NORTHWEST COMMUNITY ACTION,H
3246,0087024,1,HARLEM PARK,J
3247,2255026,1,SAINT JOSEPHS,H
3248,1533042,1,BROADWAY EAST,C
3249,6159006,1,ELLWOOD PARK/MONUMENT,H
3250,1479051,1,BROADWAY EAST,I
3251,3167030,1,PARK CIRCLE,I
3252,3903B029,1,PEN LUCY,H
3253,0373048,1,UPTON,Subsidized Rental Market
3254,4577A004,1,CENTRAL PARK HEIGHTS,I
3255,0299005,1,DRUID HEIGHTS,I
3256,4123017,1,COLDSTREAM HOMESTEAD MONTEBELLO,J
3257,1463042,1,BROADWAY EAST,J
3258,1622010,1,MIDDLE EAST,I
3259,1179B034,1,JOHNSTON SQUARE,J
3260,2174A017,1,SHIPLEY HILL,J
3261,4010N013,1,EAST BALTIMORE MIDWAY,J
3262,0271101,1,CARROLLTON RIDGE,J
3263,3190030,1,TOWANDA-GRANTLEY,J
3264,4615029,1,CENTRAL PARK HEIGHTS,I
3265,1608090,1,MILTON-MONTFORD,I
3266,3325003,1,PARK CIRCLE,I
3267,1608076,1,MILTON-MONTFORD,I
3268,0097041,1,HARLEM PARK,J
3269,0248040,1,UNION SQUARE,E
3270,0107031,1,MIDTOWN-EDMONDSON,J
3271,1505009,1,BEREA,I
3272,2169077,1,SHIPLEY HILL,J
3273,4577B010,1,CENTRAL PARK HEIGHTS,I
3274,0791057,1,WASHINGTON VILLAGE/PIGTOWN,F
3275,0204091,1,BOYD-BOOTH,J
3276,0239027,1,CARROLLTON RIDGE,J
3277,0206010,1,BOYD-BOOTH,J
3278,2451032,1,ROSEMONT,I
3279,0119051,1,MIDTOWN-EDMONDSON,J
3280,2179007,1,SHIPLEY HILL,J
3281,4114F013,1,COLDSTREAM HOMESTEAD MONTEBELLO,I
3282,1519013,1,BROADWAY EAST,J
3283,0210002,1,FRANKLIN SQUARE,E
3284,0075024,1,SANDTOWN-WINCHESTER,J
3285,0077013,1,SANDTOWN-WINCHESTER,I
3286,0008074,1,SANDTOWN-WINCHESTER,I
3287,0094029,1,MIDTOWN-EDMONDSON,J
3288,1468022,1,BROADWAY EAST,I
3289,0392006,1,UPTON,G
3290,0699067,1,CARROLLTON RIDGE,J
3291,0392008,1,UPTON,G
3292,1455026,1,BEREA,I
3293,6156033,1,ELLWOOD PARK/MONUMENT,I
3294,0227036,1,CARROLLTON RIDGE,I
3295,0469016,1,UPTON,E
3296,0452043,1,UPTON,E
3297,0452041,1,UPTON,E
3298,0452038,1,UPTON,E
3299,2307008,1,COPPIN HEIGHTS/ASH-CO-EAST,I
3300,0452037,1,UPTON,E
3301,0452034,1,UPTON,E
3302,2444016,1,WINCHESTER,I
3303,0452030,1,UPTON,E
3304,0430041,1,UPTON,G
3305,0452026,1,UPTON,E
3306,0452025,1,UPTON,E
3307,0430043,1,UPTON,G
3308,0149010,1,FRANKLIN SQUARE,J
3309,0223008,1,BOYD-BOOTH,J
3310,3973C023,1,PEN LUCY,H
3311,0452024,1,UPTON,E
3312,0430049,1,UPTON,G
3313,2406020,1,NORTHWEST COMMUNITY ACTION,I
3314,0430051,1,UPTON,G
3315,0010027,1,SANDTOWN-WINCHESTER,I
3316,0179036,1,FRANKLIN SQUARE,G
3317,0009041,1,SANDTOWN-WINCHESTER,I
3318,0032014,1,SANDTOWN-WINCHESTER,I
3319,0003047,1,SANDTOWN-WINCHESTER,I
3320,1478085,1,BROADWAY EAST,I
3321,0758114,1,WASHINGTON VILLAGE/PIGTOWN,F
3322,2141032,1,MILLHILL,I
3323,0066028,1,SANDTOWN-WINCHESTER,J
3324,4164024,1,DARLEY PARK,J
3325,0274005,1,CARROLLTON RIDGE,J
3326,3244053,1,PARKVIEW/WOODBROOK,I
3327,0055B026,1,SANDTOWN-WINCHESTER,H
3328,0274089,1,CARROLLTON RIDGE,J
3329,0452065,1,UPTON,E
3330,1457010,1,BROADWAY EAST,J
3331,1457005,1,BROADWAY EAST,J
3332,1456062,1,BROADWAY EAST,I
3333,0452068,1,UPTON,E
3334,0204078,1,BOYD-BOOTH,J
3335,1149B003,1,OLIVER,I
3336,0242083,1,CARROLLTON RIDGE,J
3337,1661055,1,ELLWOOD PARK/MONUMENT,I
3338,1474026,1,BROADWAY EAST,J
3339,2406061,1,NORTHWEST COMMUNITY ACTION,I
3340,0072054,1,SANDTOWN-WINCHESTER,J
3341,0154036,1,POPPLETON,I
3342,0411041,1,UPTON,G
3343,3410036,1,PENN NORTH,I
3344,0096084,1,HARLEM PARK,J
3345,0084058,1,HARLEM PARK,J
3346,1448099,1,BROADWAY EAST,J
3347,0104060,1,HARLEM PARK,I
3348,0087029,1,HARLEM PARK,J
3349,0104039,1,HARLEM PARK,I
3350,1522009,1,BEREA,I
3351,1612022,1,MADISON-EASTEND,I
3352,1451077,1,BROADWAY EAST,J
3353,1467014,1,BROADWAY EAST,I
3354,1478088,1,BROADWAY EAST,I
3355,0096051,1,HARLEM PARK,J
3356,4041020,1,EAST BALTIMORE MIDWAY,I
3357,3341029,1,GREENSPRING,H
3358,1517053,1,BROADWAY EAST,I
3359,1503019,1,BROADWAY EAST,J
3360,1145008,1,OLIVER,H
3361,1145002,1,OLIVER,H
3362,0094010,1,MIDTOWN-EDMONDSON,J
3363,2443A011,1,WINCHESTER,I
3364,3413025,1,PENN NORTH,I
3365,0050001,1,SANDTOWN-WINCHESTER,J
3366,1542081,1,BEREA,I
3367,3301101E,1,CENTRAL PARK HEIGHTS,I
3368,1496003,1,BROADWAY EAST,I
3369,4006005,1,EAST BALTIMORE MIDWAY,J
3370,3301120A,1,CENTRAL PARK HEIGHTS,I
3371,0055B003,1,SANDTOWN-WINCHESTER,H
3372,1519055,1,BROADWAY EAST,J
3373,1519057,1,BROADWAY EAST,J
3374,0179035,1,FRANKLIN SQUARE,G
3375,4029009,1,EAST BALTIMORE MIDWAY,J
3376,4626A067,1,CENTRAL PARK HEIGHTS,I
3377,0175015,1,PENROSE/FAYETTE STREET OUTREACH,J
3378,3403007,1,PENN NORTH,I
3379,1101033,1,OLIVER,I
3380,0008006,1,SANDTOWN-WINCHESTER,I
3381,0294041,1,PENN NORTH,J
3382,3349010,1,GREENSPRING,I
3383,1108083,1,OLIVER,I
3384,2482B032,1,FRANKLINTOWN ROAD,J
3385,0304029,1,DRUID HEIGHTS,G
3386,0304037,1,DRUID HEIGHTS,G
3387,0304040,1,DRUID HEIGHTS,G
3388,0089060,1,HARLEM PARK,I
3389,0151033,1,FRANKLIN SQUARE,J
3390,3004013,1,WALBROOK,H
3391,0014013,1,SANDTOWN-WINCHESTER,J
3392,0359022,1,UPTON,J
3393,0205008,1,BOYD-BOOTH,J
3394,0084084,1,HARLEM PARK,J
3395,2173014,1,SHIPLEY HILL,J
3396,2173019,1,SHIPLEY HILL,J
3397,1486032,1,BEREA,I
3398,1476A004,1,BEREA,I
3399,3942020,1,COLDSTREAM HOMESTEAD MONTEBELLO,F
3400,1609079,1,MILTON-MONTFORD,I
3401,1626027,1,MADISON-EASTEND,I
3402,1476A001,1,BEREA,I
3403,0360007,1,UPTON,J
3404,3019004,1,WALBROOK,H
3405,0221048,1,SHIPLEY HILL,J
3406,0293061,1,SANDTOWN-WINCHESTER,J
3407,3260049,1,MONDAWMIN,I
3408,4157013,1,SOUTH CLIFTON PARK,J
3409,7135043,1,BROOKLYN,F
3410,0094075,1,MIDTOWN-EDMONDSON,J
3411,7477044,1,MOUNT WINANS,G
3412,7477042,1,MOUNT WINANS,G
3413,0075032,1,SANDTOWN-WINCHESTER,J
3414,2174A063,1,SHIPLEY HILL,J
3415,2175024,1,SHIPLEY HILL,J
3416,2170A014,1,SHIPLEY HILL,J
3417,1484071,1,BROADWAY EAST,J
3418,1521041,1,BEREA,I
3419,4003042,1,EAST BALTIMORE MIDWAY,J
3420,0250096,1,HOLLINS MARKET,F
3421,2445010,1,FRANKLINTOWN ROAD,I
3422,3410047,1,PENN NORTH,I
3423,1537013,1,BROADWAY EAST,J
3424,1537009,1,BROADWAY EAST,J
3425,0037A023,1,SANDTOWN-WINCHESTER,G
3426,1101088,1,OLIVER,I
3427,0064016,1,SANDTOWN-WINCHESTER,H
3428,1154026,1,JOHNSTON SQUARE,J
3429,1118061,1,OLIVER,I
3430,1189016,1,JOHNSTON SQUARE,H
3431,1152031,1,JOHNSTON SQUARE,J
3432,3210086,1,MONDAWMIN,J
3433,3417061,1,PENN NORTH,I
3434,3416027,1,PENN NORTH,I
3435,3244040,1,PARKVIEW/WOODBROOK,I
3436,0179025,1,FRANKLIN SQUARE,G
3437,3404004,1,PENN NORTH,I
3438,2175061,1,SHIPLEY HILL,J
3439,0224030,1,BOYD-BOOTH,J
3440,0262085,1,NEW SOUTHWEST/MOUNT CLARE,I
3441,0222059,1,BOYD-BOOTH,J
3442,0204072,1,BOYD-BOOTH,J
3443,0035041,1,SANDTOWN-WINCHESTER,G
3444,0599031,1,DOWNTOWN,Rental Market 1
3445,0396042,1,UPTON,H
3446,1177053,1,GAY STREET,E
3447,1468079,1,BROADWAY EAST,I
3448,1468065,1,BROADWAY EAST,I
3449,2175087,1,SHIPLEY HILL,J
3450,0055C018,1,SANDTOWN-WINCHESTER,J
3451,0055C014,1,SANDTOWN-WINCHESTER,J
3452,4608029,1,CENTRAL PARK HEIGHTS,J
3453,0392012,1,UPTON,G
3454,0077026,1,SANDTOWN-WINCHESTER,I
3455,0055D054,1,SANDTOWN-WINCHESTER,J
3456,1573018,1,BIDDLE STREET,J
3457,4578027,1,CENTRAL PARK HEIGHTS,I
3458,3814039,1,BARCLAY,G
3459,3402012,1,PENN NORTH,H
3460,0014024,1,SANDTOWN-WINCHESTER,J
3461,1478072,1,BROADWAY EAST,I
3462,3402005,1,PENN NORTH,H
3463,0014012,1,SANDTOWN-WINCHESTER,J
3464,0015009,1,SANDTOWN-WINCHESTER,J
3465,2303034,1,COPPIN HEIGHTS/ASH-CO-EAST,I
3466,0279092,1,NEW SOUTHWEST/MOUNT CLARE,I
3467,0204071,1,BOYD-BOOTH,J
3468,0128065,1,HARLEM PARK,I
3469,0430072,1,UPTON,G
3470,0222095,1,BOYD-BOOTH,J
3471,2177042,1,SHIPLEY HILL,J
3472,0004037,1,SANDTOWN-WINCHESTER,I
3473,2446B058,1,FRANKLINTOWN ROAD,I
3474,0026005,1,SANDTOWN-WINCHESTER,I
3475,0175036,1,PENROSE/FAYETTE STREET OUTREACH,J
3476,4606025,1,CENTRAL PARK HEIGHTS,I
3477,0026007,1,SANDTOWN-WINCHESTER,I
3478,0072032,1,SANDTOWN-WINCHESTER,J
3479,2377B004,1,MOSHER,I
3480,3823049,1,BARCLAY,E
3481,1157060,1,JOHNSTON SQUARE,H
3482,0115089,1,HARLEM PARK,I
3483,0082013,1,MIDTOWN-EDMONDSON,J
3484,4171167,1,SOUTH CLIFTON PARK,J
3485,0155016,1,POPPLETON,I
3486,0314023,1,DRUID HEIGHTS,I
3487,0206023,1,BOYD-BOOTH,J
3488,0050088,1,SANDTOWN-WINCHESTER,J
3489,0222003,1,BOYD-BOOTH,J
3490,0059031,1,SANDTOWN-WINCHESTER,J
3491,0050089,1,SANDTOWN-WINCHESTER,J
3492,1451043,1,BROADWAY EAST,J
3493,0169037,1,POPPLETON,I
3494,0026014,1,SANDTOWN-WINCHESTER,I
3495,3228A025,1,PARKVIEW/WOODBROOK,I
3496,3228C035,1,PARKVIEW/WOODBROOK,I
3497,4178B004,1,FOUR BY FOUR,I
3498,0222056,1,BOYD-BOOTH,J
3499,0077009,1,SANDTOWN-WINCHESTER,I
3500,0064013,1,SANDTOWN-WINCHESTER,H
3501,0791022,1,WASHINGTON VILLAGE/PIGTOWN,F
3502,2406083,1,NORTHWEST COMMUNITY ACTION,I
3503,0010020,1,SANDTOWN-WINCHESTER,I
3504,4157022,1,SOUTH CLIFTON PARK,J
3505,0320001,1,UPTON,I
3506,1101099,1,OLIVER,I
3507,4156A002,1,SOUTH CLIFTON PARK,J
3508,1118022,1,OLIVER,I
3509,0120009,1,HARLEM PARK,J
