,BLOCKLOT,VAC:PROG,VAC:Neighborhood,VAC:Typology
138,2406037,1,NORTHWEST COMMUNITY ACTION,I
139,1464049,1,BROADWAY EAST,J
140,0124009,1,HARLEM PARK,I
141,1454027,1,BROADWAY EAST,J
142,1142B028,1,JOHNSTON SQUARE,J
143,1609003,1,MILTON-MONTFORD,I
144,2418062,1,NORTHWEST COMMUNITY ACTION,I
145,1463086,1,BROADWAY EAST,J
146,0392017,1,UPTON,G
147,4022007,1,EAST BALTIMORE MIDWAY,G
148,1144005,1,JOHNSTON SQUARE,J
149,3196019,1,LUCILLE PARK,J
150,0275066,1,CARROLLTON RIDGE,J
151,0696104,1,CARROLLTON RIDGE,J
152,0696099,1,CARROLLTON RIDGE,J
153,0711029,1,CARROLLTON RIDGE,I
154,2402031,1,COPPIN HEIGHTS/ASH-CO-EAST,I
155,1644050,1,MCELDERRY PARK,I
156,0292007,1,NEW SOUTHWEST/MOUNT CLARE,I
157,0013A046,1,SANDTOWN-WINCHESTER,J
158,3207005,1,MONDAWMIN,J
159,2165007,1,SHIPLEY HILL,J
160,3205023,1,MONDAWMIN,I
161,3424042,1,RESERVOIR HILL,E
162,3244030,1,PARKVIEW/WOODBROOK,I
163,2402054,1,COPPIN HEIGHTS/ASH-CO-EAST,I
164,0276019,1,NEW SOUTHWEST/MOUNT CLARE,J
165,3012040,1,WALBROOK,H
166,1338001,1,JONESTOWN,Subsidized Rental Market
167,3182095,1,TOWANDA-GRANTLEY,J
168,2230F006,1,CARROLL-SOUTH HILTON,H
169,3311019,1,CENTRAL PARK HEIGHTS,J
170,0242048,1,CARROLLTON RIDGE,J
171,0107043,1,MIDTOWN-EDMONDSON,J
172,3410038,1,PENN NORTH,I
173,3347C034,1,GREENSPRING,I
174,1592020,1,MILTON-MONTFORD,I
175,0696086,1,CARROLLTON RIDGE,J
176,3005014,1,WALBROOK,H
177,3244029,1,PARKVIEW/WOODBROOK,I
178,0274030,1,CARROLLTON RIDGE,J
179,0094046,1,MIDTOWN-EDMONDSON,J
180,0769099,1,WASHINGTON VILLAGE/PIGTOWN,F
181,1655074,1,MCELDERRY PARK,H
182,0273064,1,CARROLLTON RIDGE,J
183,1125078,1,OLIVER,I
184,3341030,1,GREENSPRING,H
185,2388032,1,WINCHESTER,I
186,0362010,1,UPTON,H
187,4577026,1,CENTRAL PARK HEIGHTS,J
188,5915005,1,BELAIR-EDISON,H
189,0850017,1,WASHINGTON VILLAGE/PIGTOWN,E
190,4608046,1,CENTRAL PARK HEIGHTS,J
