REAL:Neighborhood,VAC:PROG,REC:PROG,ADOPT:PROG,BID:PROG,DEMO:PROG,CityOwned,CITYandANY,CITYandADOPT,CITYandDEMO,CITYandVAC,VACandREC,AnyProgram,TotalParcels
ROSEMONT EAST                            ,2.0,1.0,4.0,0.0,0.0,7,4,4.0,0.0,0.0,1.0,6,633
ROSEMONT HOMEOWNERS/TENANTS              ,94.0,0.0,5.0,2.0,2.0,16,15,5.0,0.0,10.0,0.0,101,643
SABINA-MATTFELDT                         ,1.0,0.0,24.0,0.0,0.0,40,24,24.0,0.0,0.0,0.0,25,153
SAINT AGNES                              ,1.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1,161
SAINT HELENA                             ,6.0,1.0,11.0,0.0,0.0,12,11,11.0,0.0,0.0,1.0,17,290
SAINT JOSEPHS                            ,83.0,1.0,11.0,0.0,5.0,16,13,11.0,0.0,2.0,1.0,99,917
SAINT PAUL                               ,5.0,0.0,52.0,0.0,0.0,66,52,52.0,0.0,0.0,0.0,57,191
SANDTOWN-WINCHESTER                      ,755.0,15.0,394.0,169.0,302.0,782,603,390.0,114.0,130.0,7.0,1423,3914
SBIC                                     ,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,10
SETON BUSINESS PARK                      ,0.0,0.0,0.0,0.0,0.0,7,0,0.0,0.0,0.0,0.0,0,42
SETON HILL                               ,3.0,1.0,5.0,0.0,0.0,21,5,5.0,0.0,0.0,1.0,8,369
SHARP-LEADENHALL                         ,2.0,0.0,1.0,0.0,0.0,5,1,1.0,0.0,0.0,0.0,3,250
SHIPLEY HILL                             ,316.0,0.0,57.0,18.0,74.0,96,83,56.0,17.0,14.0,0.0,441,1280
SOUTH BALTIMORE                          ,10.0,0.0,2.0,0.0,1.0,4,2,2.0,0.0,0.0,0.0,13,1679
SOUTH CLIFTON PARK                       ,91.0,1.0,65.0,15.0,34.0,217,114,65.0,29.0,20.0,0.0,191,589
SPRING GARDEN INDUSTRIAL AREA            ,0.0,0.0,1.0,0.0,0.0,13,1,1.0,0.0,0.0,0.0,1,71
STADIUM AREA                             ,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,7
STONEWOOD-PENTWOOD-WINSTON               ,1.0,0.0,1.0,0.0,0.0,4,1,1.0,0.0,0.0,0.0,2,301
TAYLOR HEIGHTS                           ,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,164
TEN HILLS                                ,1.0,1.0,1.0,0.0,2.0,5,3,1.0,2.0,0.0,0.0,5,338
THE ORCHARDS                             ,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,205
TOWANDA-GRANTLEY                         ,75.0,0.0,27.0,9.0,14.0,44,37,27.0,7.0,4.0,0.0,115,511
TREMONT                                  ,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,273
TUSCANY-CANTERBURY                       ,0.0,0.0,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,1,1486
UNASSIGNED CANTON                        ,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,2
UNASSIGNED SCOTTSVILLE                   ,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,1
UNION SQUARE                             ,76.0,2.0,4.0,3.0,10.0,15,10,4.0,2.0,6.0,2.0,89,548
UNIVERSITY OF MARYLAND                   ,4.0,0.0,15.0,0.0,0.0,19,14,14.0,0.0,0.0,0.0,19,143
UPLANDS                                  ,4.0,0.0,4.0,0.0,1.0,43,5,4.0,1.0,0.0,0.0,9,526
UPPER FELLS POINT                        ,14.0,6.0,1.0,0.0,0.0,5,2,1.0,0.0,1.0,4.0,17,1924
UPTON                                    ,348.0,11.0,336.0,79.0,128.0,621,520,333.0,94.0,120.0,11.0,794,1858
VILLAGES OF HOMELAND                     ,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,290
VIOLETVILLE                              ,2.0,0.0,2.0,0.0,0.0,9,2,2.0,0.0,0.0,0.0,4,984
WAKEFIELD                                ,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0,73
WALBROOK                                 ,139.0,12.0,41.0,10.0,41.0,60,52,40.0,14.0,5.0,9.0,216,1110
WALTHERSON                               ,31.0,10.0,14.0,0.0,0.0,18,14,14.0,0.0,0.0,9.0,46,2573
WASHINGTON HILL                          ,16.0,4.0,18.0,0.0,2.0,24,14,14.0,0.0,0.0,4.0,36,715
WASHINGTON VILLAGE                       ,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
WASHINGTON VILLAGE/PIGTOWN               ,155.0,13.0,7.0,5.0,2.0,19,7,4.0,0.0,1.0,10.0,169,2835
WAVERLY                                  ,33.0,13.0,8.0,0.0,0.0,13,10,8.0,0.0,2.0,8.0,46,1209
WEST ARLINGTON                           ,19.0,3.0,3.0,0.0,3.0,9,4,3.0,0.0,1.0,1.0,26,618
WEST FOREST PARK                         ,14.0,2.0,7.0,0.0,0.0,21,8,7.0,0.0,1.0,1.0,22,639
WEST HILLS                               ,1.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,0.0,1,696
WESTFIELD                                ,4.0,0.0,1.0,0.0,0.0,2,1,1.0,0.0,0.0,0.0,5,1274
WESTGATE                                 ,3.0,0.0,3.0,0.0,0.0,8,3,3.0,0.0,0.0,0.0,6,680
WESTPORT                                 ,120.0,0.0,6.0,1.0,15.0,24,9,6.0,5.0,0.0,0.0,139,606
WILHELM PARK                             ,4.0,0.0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,0.0,4,246
WILSON PARK                              ,15.0,3.0,15.0,5.0,3.0,22,17,14.0,3.0,0.0,2.0,34,361
WINCHESTER                               ,99.0,3.0,11.0,2.0,2.0,13,13,11.0,0.0,1.0,3.0,113,596
WINDSOR HILLS                            ,14.0,7.0,11.0,0.0,0.0,13,11,11.0,0.0,0.0,6.0,26,619
WINSTON-GOVANS                           ,16.0,9.0,36.0,2.0,1.0,41,36,36.0,0.0,0.0,4.0,58,539
WOODBERRY                                ,2.0,1.0,48.0,0.0,0.0,64,48,48.0,0.0,0.0,0.0,51,743
WOODBOURNE HEIGHTS                       ,0.0,0.0,1.0,0.0,0.0,4,1,1.0,0.0,0.0,0.0,1,395
WOODBOURNE-MCCABE                        ,25.0,8.0,9.0,0.0,5.0,19,13,9.0,4.0,0.0,3.0,44,407
WOODMERE                                 ,31.0,3.0,6.0,1.0,2.0,14,8,6.0,0.0,2.0,3.0,39,956
WRENLANE                                 ,13.0,1.0,8.0,1.0,1.0,8,7,7.0,0.0,0.0,0.0,23,273
WYMAN PARK                               ,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,506
WYNDHURST                                ,0.0,0.0,1.0,0.0,0.0,6,1,1.0,0.0,0.0,0.0,1,248
YALE HEIGHTS                             ,3.0,0.0,6.0,0.0,0.0,11,6,6.0,0.0,0.0,0.0,9,633
YORK-HOMELAND                            ,0.0,0.0,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,1,114
