NoticeNum,DateNotice,Shape,BLOCKLOT,NEIGHBOR,Council_District,Typology2017,OBJECTID,ESRI_OID,x,y
989995A,"June 26, 2013",,4595 009,LANGSTON HUGHES                          ,-422932440,I,876917,8426,1403483.3000043035,610589.1753985584
989665A,"June 27, 2013",,2230L040,CARROLL-SOUTH HILTON                     ,-422922936,H,802611,7600,1406098.5798787177,589667.6604831368
98912A,"November 23, 2005",,2451 045,ROSEMONT                                 ,-536921592,I,811147,2709,1405715.590159133,597054.4278618097
98911A,"November 15, 2005",,2252A034,SAINT JOSEPHS                            ,-536920584,H,803212,7379,1403338.6444537193,589674.2090264708
98900A,"November 14, 2005",,3243 004,PARKVIEW/WOODBROOK                       ,-536919384,H,828692,4490,1411730.9052282274,600714.0504638106
98891A,"December 22, 2005",,2170A098,SHIPLEY HILL                             ,-536916552,J,800320,3442,1408766.4672594666,590890.2023293972
988780A,"June 28, 2013",,4163 018,DARLEY PARK                              ,-536916024,J,862688,4069,1426493.8658597171,600470.822275728
988751A,"June 28, 2013",,3244 028,PARKVIEW/WOODBROOK                       ,-536915928,I,828731,4015,1412023.6152727157,600764.0523323119
988622A,"July 5, 2013",,1486 037,BEREA                                    ,-536917800,I,769023,4160,1430636.859214142,598111.6655767262
988613A,"June 25, 2013",,0076 013,SANDTOWN-WINCHESTER                      ,-536917224,J,727377,3774,1413851.3330739737,594905.9777623862
988601A,"June 25, 2013",,2173 013,SHIPLEY HILL                             ,-536915736,J,800492,2210,1410110.869754389,589539.5957786441
988568A,"June 25, 2013",,0104 036,HARLEM PARK                              ,-536918712,I,728822,5954,1415769.7321242988,593989.7843848169
988401A,"June 24, 2013",,4544A004A,ARLINGTON                                ,-536917752,I,875465,9787,1401982.2849617153,611780.602149561
987923A,"June 21, 2013",,5906 027,BELAIR-EDISON                            ,-536916600,H,917107,1647,1434889.6141600609,603620.6322490573
987190A,"June 21, 2013",,7441A001,WESTPORT                                 ,-536918616,H,944304,9747,1416381.874272719,581692.0757125616
986986A,"August 16, 2013",,1468 069,BROADWAY EAST                            ,-536917560,I,767908,11329,1428049.4824991375,598453.2708646506
986387A,"June 20, 2013",,1215 032,GAY STREET                               ,-536918184,G,762979,3588,1426839.375995472,595335.829592973
985646A,"June 28, 2013",,2444 018,WINCHESTER                               ,-536918520,I,810668,8312,1406784.317680478,595587.0059278905
985599A,"June 18, 2013",,1473 046,BROADWAY EAST                            ,-536918472,J,768049,2327,1429795.558731392,598499.4590924829
985379A,"June 20, 2013",,2409A012,ROSEMONT                                 ,-536917704,I,809572,11897,1406580.4237312973,596757.7670378089
985353A,"June 18, 2013",,1537 034,BROADWAY EAST                            ,-536917080,J,771261,10197,1430270.478385225,597160.411573723
985189A,"June 17, 2013",,4577B031,CENTRAL PARK HEIGHTS                     ,-536916984,I,876247,3965,1403139.5106656402,611757.0749656409
984935A,"June 24, 2013",,4576 007,LANGSTON HUGHES                          ,-536916504,I,876096,12281,1403079.3500248045,611121.8042545617
984736A,"June 14, 2013",,0578 014,DOWNTOWN                                 ,-536917656,Rental Market 1,748100,6545,1420074.5499582142,592661.1029870659
984262A,"June 17, 2013",,1534 057,BROADWAY EAST                            ,-536918088,J,771092,8577,1429111.9537993819,597101.0166793913
98389A,"November 14, 2005",,2165 042,SHIPLEY HILL                             ,-536916648,J,800027,9414,1409768.8126957268,590628.6362514794
98367A,"November 17, 2005",,0050 016,SANDTOWN-WINCHESTER                      ,-536916456,J,725807,1705,1412435.542598471,595622.4819068164
983375A,"June 11, 2013",,1536 023,BROADWAY EAST                            ,-536918424,J,771161,8491,1429950.9649166316,596986.3800976425
983257A,"June 24, 2013",,4580 012,CENTRAL PARK HEIGHTS                     ,-536917176,I,876339,6918,1403491.8314833045,612312.1420969814
982867A,"June 12, 2013",,3211 073,MONDAWMIN                                ,-536917608,J,827653,1514,1411189.612675637,599113.9112756401
982845A,"June 13, 2013",,0205 002,BOYD-BOOTH                               ,-536918376,J,733922,3124,1411330.5956613868,590601.2629466504
982615A,"June 14, 2013",,1484 034,BROADWAY EAST                            ,-536918232,J,768869,7542,1429853.639980048,598269.0412462205
98259A,"November 23, 2005",,0320 009,UPTON                                    ,-536918040,I,740356,958,1415151.325224638,597334.0460689813
982468A,"June 18, 2013",,0791 051,WASHINGTON VILLAGE/PIGTOWN               ,-536917512,F,751821,11306,1416687.230617389,588037.2605287284
982439A,"June 10, 2013",,0125 052,HARLEM PARK                              ,-536917464,I,730175,1344,1414326.9489206374,592985.8044373989
980805A,"June 5, 2013",,3347F034,GREENSPRING                              ,-536917416,I,831654,10718,1407759.6838399768,609197.2483923882
980756A,"June 6, 2013",,2255 027,SAINT JOSEPHS                            ,-536917368,H,803350,7175,1404353.1151937991,589999.4370505661
980743A,"June 5, 2013",,4002 020,EAST BALTIMORE MIDWAY                    ,-536915640,J,855651,362,1423685.6962792277,599543.7578568906
