NoticeNum,DateNotice,Shape,BLOCKLOT,NEIGHBOR,Council_District,Typology2017,OBJECTID,ESRI_OID,x,y
77079A,"August 3, 2005",,4138 031,COLDSTREAM HOMESTEAD MONTEBELLO          ,-537591320,I,861108,969,1427322.672601059,603476.7296497226
770457A,"October 13, 2011",,7441 022,WESTPORT                                 ,-537591032,H,944294,8785,1416543.7709305584,581820.5849699825
770192A,"January 13, 2012",,3211 033,MONDAWMIN                                ,-537591944,J,827613,5648,1411034.7944157273,599226.7263387293
770106A,"October 7, 2011",,0291 061,CARROLLTON RIDGE                         ,-537592232,I,738983,5693,1412692.1106548905,588740.7896334827
769923A,"October 27, 2011",,1463 011,BROADWAY EAST                            ,-537589496,J,767527,9227,1429596.73596631,598924.3352112323
769543A,"October 5, 2011",,4114G033,COLDSTREAM HOMESTEAD MONTEBELLO          ,-537589832,H,860097,6051,1426324.8438880593,602653.9570170641
769345A,"October 6, 2011",,0120 027,HARLEM PARK                              ,-537589448,J,729824,595,1412464.590112552,593217.7675561458
769342A,"October 6, 2011",,0275 103,CARROLLTON RIDGE                         ,-537590984,J,737876,271,1412615.3125801384,589176.8215698153
768559A,"October 3, 2011",,1629 018G,MADISON-EASTEND                          ,-537590216,I,775349,2572,1432275.6019996405,595036.8803877234
76850A,"August 11, 2005",,2377D032,MOSHER                                   ,-537590168,I,807957,6693,1408309.5127928108,593238.3072132319
768422A,"October 6, 2011",,1478 090,BROADWAY EAST                            ,-537591560,I,768596,7005,1427701.4254524708,597995.92729114
768165A,"October 7, 2011",,7139A032,BROOKLYN                                 ,-537590936,I,941750,11146,1426373.124303311,570229.8384664804
768070A,"September 30, 2011",,0064 020,SANDTOWN-WINCHESTER                      ,-537590312,H,726747,8815,1414250.3854254633,595146.3696700633
768030A,"September 30, 2011",,7437A010,WESTPORT                                 ,-537590744,H,944224,11490,1416105.4486444741,581675.8099970669
76769A,"August 2, 2005",,3004 019,WALBROOK                                 ,-537590024,H,821656,5443,1406576.2662592977,598430.5855425596
767654A,"November 4, 2011",,3183 018,TOWANDA-GRANTLEY                         ,-537589688,J,826384,7221,1406703.643957302,607986.1796203107
767582A,"September 29, 2011",,0205 019,BOYD-BOOTH                               ,-537590888,J,733939,5286,1411086.917014882,590551.9477565587
767251A,"September 30, 2011",,0452 027,UPTON                                    ,-537591656,E,744106,12476,1416528.6679423898,593846.4300127327
767246A,"September 28, 2011",,0277 062,NEW SOUTHWEST/MOUNT CLARE                ,-537591608,J,738068,8612,1413475.0195221305,589289.7987060547
767097A,"September 29, 2011",,4010K004,EAST BALTIMORE MIDWAY                    ,-537590120,J,856182,4398,1425470.5198093057,601345.5547782332
766783A,"October 17, 2011",,1647 001I,ELLWOOD PARK/MONUMENT                    ,-537590456,I,776176,10082,1433017.5581928939,594675.3650346398
766622A,"September 28, 2011",,7427 009,WESTPORT                                 ,-537589352,H,944175,3407,1416222.421179548,582307.0036165565
766373A,"September 30, 2011",,0244 067,UNION SQUARE                             ,-537590264,E,735831,7557,1412921.347729221,589882.0770490617
766155A,"September 26, 2011",,2174A077B,SHIPLEY HILL                             ,-537590072,J,800589,5604,1409781.7083392143,589409.7397391498
766154A,"September 26, 2011",,2174A077D,SHIPLEY HILL                             ,-537591416,J,800591,1486,1409782.928153053,589375.4835740626
766025-2003,"December 8, 2003",,4114E049,COLDSTREAM HOMESTEAD MONTEBELLO          ,-537590600,I,860011,10496,1426448.2816333026,602464.7395477295
765933A,"September 23, 2011",,1132 048,OLIVER                                   ,-537589880,H,760442,3089,1424711.0111577213,597459.7423398942
76583A,"August 4, 2005",,3185A003,TOWANDA-GRANTLEY                         ,-537589640,J,826522,2844,1406418.5835037977,608754.4818894714
765404A,"September 22, 2011",,1174 015,JOHNSTON SQUARE                          ,-537589592,H,762181,2326,1424991.2494423836,596495.7672337294
765386A,"September 22, 2011",,1468 083,BROADWAY EAST                            ,-537592376,I,767922,7632,1428134.1867260486,598472.6989753991
765176A,"September 21, 2011",,0265 098,NEW SOUTHWEST/MOUNT CLARE                ,-537592040,I,737150,10759,1414574.10885939,589637.0476834774
765159A,"October 14, 2011",,1478 091,BROADWAY EAST                            ,-537590840,I,768597,2658,1427701.9336535484,597985.392535314
764970A,"September 23, 2011",,4041 038,EAST BALTIMORE MIDWAY                    ,-537591992,I,857171,3461,1423447.8525948077,601114.1913958043
764707A,"September 21, 2011",,1572 026,BIDDLE STREET                            ,-537591368,J,772720,556,1430387.9827433825,596303.0350076407
76445A,"August 1, 2005",,7116 046,BROOKLYN                                 ,-537591272,I,941006,12690,1425542.5570667982,570243.9408004731
764064A,"October 14, 2011",,4171 175,SOUTH CLIFTON PARK                       ,-537591224,J,863578,3780,1429086.5444013923,600202.6653317213
763936A,"September 22, 2011",,1453 018,BROADWAY EAST                            ,-537590552,J,766875,5638,1429824.4543428868,599392.3234484792
763742A,"September 26, 2011",,1453 030,BROADWAY EAST                            ,-537591128,J,766887,605,1429844.9451155514,599211.263771221
763267A,"September 21, 2011",,0190 029,PENROSE/FAYETTE STREET OUTREACH          ,-537590792,J,733082,4003,1411040.1552973837,590970.4623394758
763182A,"September 16, 2011",,0768 037,WASHINGTON VILLAGE/PIGTOWN               ,-537590696,F,750878,10688,1415548.329351887,588104.282704398
763134A,"September 16, 2011",,2100 101,MILLHILL                                 ,-537588824,I,798200,2500,1409302.8723546416,586605.9051237255
763131A,"September 16, 2011",,2100 095,MILLHILL                                 ,-537589160,I,798194,2325,1409375.1730630547,586637.2682499737
762813A,"September 22, 2011",,1448 045,BROADWAY EAST                            ,-537588104,I,766459,3228,1428111.80520913,599501.4866159707
762812A,"September 16, 2011",,2178 086,SHIPLEY HILL                             ,-537588872,J,801011,2519,1408844.2823925614,588385.2598327249
762565A,"September 15, 2011",,0314 067,DRUID HEIGHTS                            ,-537588680,I,740199,9300,1415210.5964315534,597718.8392626494
762549A,"September 16, 2011",,0856A069,WASHINGTON VILLAGE/PIGTOWN               ,-537588776,E,752792,11433,1417102.1579371393,588341.8829509765
762489A,"September 19, 2011",,0360 028,UPTON                                    ,-537586376,J,741697,3351,1415800.6293722242,596023.0916698873
762347A,"October 27, 2011",,0150 046,FRANKLIN SQUARE                          ,-537587576,J,730865,5750,1413207.495450884,592235.4476704001
762078A,"September 16, 2011",,0360 029,UPTON                                    ,-537586808,J,741698,4972,1415810.7261368036,596033.6700608134
761988A,"September 14, 2011",,0190 056,PENROSE/FAYETTE STREET OUTREACH          ,-537587432,J,733108,2768,1411319.1537551433,591093.9250190556
761879A,"September 26, 2011",,1468 053,BROADWAY EAST                            ,-537586760,I,767892,6159,1428213.2482477278,598347.8238970637
761237A,"September 15, 2011",,0359 013,UPTON                                    ,-537588056,J,741626,317,1415765.677342385,595681.9771946371
761081A,"September 14, 2011",,3342 060,GREENSPRING                              ,-537589208,H,831197,3341,1408059.8462973833,607659.6897877306
761015A,"September 12, 2011",,3005 021,WALBROOK                                 ,-537588632,H,821736,7709,1407072.1573278904,598480.7744185627
760685A,"September 13, 2011",,2409B028B,NORTHWEST COMMUNITY ACTION               ,-537587000,H,809675,6368,1407386.3473163098,597041.1831376404
760646A,"September 16, 2011",,4602 063,CENTRAL PARK HEIGHTS                     ,-537589112,J,877201,7609,1403781.280707553,610559.1656160653
76010A,"July 29, 2005",,0416 016,UPTON                                    ,-537587384,H,743529,110,1417533.0294507146,595815.56518206
759411A,"October 14, 2011",,3209 043,MONDAWMIN                                ,-537589256,J,827413,11313,1411932.4228698015,599204.7864219695
759158A,"October 14, 2011",,4157 027,SOUTH CLIFTON PARK                       ,-537587960,J,862598,1719,1428137.8277948946,599804.709106639
759155A,"September 9, 2011",,0263 002,NEW SOUTHWEST/MOUNT CLARE                ,-537589064,I,736900,3837,1413894.2460458875,589672.5020089
759002A,"September 7, 2011",,2819 016,GARWYN OAKS                              ,-537586472,F,818832,6889,1402594.4605746418,600398.0369882286
758480A,"September 7, 2011",,3941A023,COLDSTREAM HOMESTEAD MONTEBELLO          ,-537589016,F,850470,1862,1428671.2178042233,604807.5872242302
758389A,"September 6, 2011",,4612 014,CENTRAL PARK HEIGHTS                     ,-537588968,I,877711,9440,1404896.179396391,612363.8093164712
758363A,"September 8, 2011",,4157 028,SOUTH CLIFTON PARK                       ,-537588728,J,862599,6832,1428137.1115889698,599818.2658380568
75794A,"July 28, 2005",,3804 020,BARCLAY                                  ,-537589304,G,845757,7451,1422498.320045054,599331.3448958993
757805A,"September 2, 2011",,0190 022,PENROSE/FAYETTE STREET OUTREACH          ,-537588008,J,733075,11462,1411045.7281208932,590832.8999505639
757684A,"September 2, 2011",,0274 038,CARROLLTON RIDGE                         ,-537588920,J,737708,9109,1411944.6429897249,588949.571368143
757581A,"September 2, 2011",,1463 040,BROADWAY EAST                            ,-537587336,J,767555,4436,1429845.5248388052,598982.5850947201
757368A,"September 6, 2011",,0359 034,UPTON                                    ,-537586664,J,741647,7333,1415532.9360099733,595736.1591728926
757340A,"September 1, 2011",,0242 049,CARROLLTON RIDGE                         ,-537587912,J,735608,9347,1411984.7393662184,589914.3857114762
756998A,"September 1, 2011",,2217 014,PENROSE/FAYETTE STREET OUTREACH          ,-537586712,I,802042,12593,1407709.6678638905,592692.6265460551
756567A,"September 9, 2011",,1503 026,BROADWAY EAST                            ,-537587768,J,769648,7771,1429765.8573472202,597909.6407183111
756492A,"August 31, 2011",,2348 023,ROSEMONT HOMEOWNERS/TENANTS              ,-537586952,I,806679,9194,1410071.734662056,593231.4889853895
756456A,"September 1, 2011",,4061 020,EAST BALTIMORE MIDWAY                    ,-537588296,J,858420,2376,1423836.9679583013,601281.1520198882
756434A,"September 1, 2011",,1483 016,BROADWAY EAST                            ,-537586280,J,768766,5288,1429488.4737156332,598028.802225396
755970A,"September 2, 2011",,1115 008,OLIVER                                   ,-537587720,I,759647,1868,1425689.0249497145,598459.5753139704
755024A,"August 31, 2011",,0162 059,PENROSE/FAYETTE STREET OUTREACH          ,-537588200,J,731665,4428,1411937.9550109655,591926.1205331385
754973A,"September 1, 2011",,3347C030,GREENSPRING                              ,-537587288,I,831501,880,1408325.1410423815,608444.4487168938
754854A,"September 9, 2011",,1519 039,BROADWAY EAST                            ,-537587240,J,770388,3876,1429770.8576653004,597523.1257433146
754745A,"August 25, 2011",,3228B052,PARKVIEW/WOODBROOK                       ,-537586904,I,828109,6943,1412306.0323588103,600660.4810171425
754586A,"September 2, 2011",,2482B043,FRANKLINTOWN ROAD                        ,-537587624,J,811972,4594,1406975.3822589666,593190.1147243083
75364A,"July 28, 2005",,7134 003,BROOKLYN                                 ,-537587864,F,941382,4049,1424213.5675988048,569366.128251642
753632A,"August 25, 2011",,1101 105,OLIVER                                   ,-537587144,I,758841,11815,1426198.8792449683,599280.2370584756
753623A,"August 23, 2011",,4004 025,EAST BALTIMORE MIDWAY                    ,-537588584,J,855728,3300,1424237.0941265523,599636.9617387205
753611A,"August 23, 2011",,4004 024,EAST BALTIMORE MIDWAY                    ,-537588536,J,855727,6332,1424238.0137441307,599623.0408348143
753171A,"December 11, 2011",,0169 030,POPPLETON                                ,-537588488,I,732130,10896,1414764.791220799,592097.922026813
752781A,"August 23, 2011",,3342 040,GREENSPRING                              ,-537587816,H,831177,6470,1408500.0954168886,607897.0452841371
752746A,"August 26, 2011",,0227 007,CARROLLTON RIDGE                         ,-537586856,I,734904,165,1412554.032518968,590264.5077146441
75265A,"July 27, 2005",,4626A019,CENTRAL PARK HEIGHTS                     ,-537588392,I,878387,7796,1406072.5868204683,610649.9705525637
752382A,"August 19, 2011",,3301 082,CENTRAL PARK HEIGHTS                     ,-537588440,I,829741,6996,1405248.2282329649,610176.5755019784
752345A,"August 19, 2011",,1125 074,OLIVER                                   ,-537587480,I,760124,10779,1425755.959199056,597929.220403567
752299A,"August 19, 2011",,0008 017,SANDTOWN-WINCHESTER                      ,-537587192,I,723670,10224,1412310.885367468,598192.7146272212
751334A,"August 25, 2011",,1659 087,MCELDERRY PARK                           ,-537588344,I,777023,3872,1432031.3354278058,594150.2204156369
751247A,"August 18, 2011",,0071 078,MIDTOWN-EDMONDSON                        ,-537588248,J,727034,8954,1411905.1525831372,594743.9295300543
751047A,"August 18, 2011",,0003 019,SANDTOWN-WINCHESTER                      ,-537588152,I,723342,1534,1412269.360188052,598548.7591907233
751046A,"August 18, 2011",,2218 042,PENROSE/FAYETTE STREET OUTREACH          ,-537587096,J,802088,2983,1407381.711170718,592388.8699357212
750954A,"August 16, 2011",,3214 046,MONDAWMIN                                ,-537587672,I,827879,11202,1410011.2413447201,599365.1292771399
750946-2002,"December 26, 2002",,0090 009,HARLEM PARK                              ,-537586616,I,728160,11276,1414881.885474801,594616.962920472
750884A,"August 19, 2011",,2199C007,CARROLL-SOUTH HILTON                     ,-537587048,H,801338,2923,1405347.641419977,588790.4981954843
750862A,"August 17, 2011",,0087 013,HARLEM PARK                              ,-537587528,J,728045,1044,1413546.2900488824,594300.7151933908
750721A,"August 18, 2011",,0050 043,SANDTOWN-WINCHESTER                      ,-537586568,J,725834,8836,1412204.277641058,595520.6399188936
750548A,"August 18, 2011",,0373 034,UPTON                                    ,-537586520,Subsidized Rental Market,741988,7778,1415863.264417559,595263.7477161437
750466A,"August 23, 2011",,4163A029,DARLEY PARK                              ,-537586424,J,862718,11154,1426935.3800685555,600384.7702824771
750410A,"August 18, 2011",,1607 055,MILTON-MONTFORD                          ,-537584984,H,774097,6477,1430033.699331224,595123.1266063154
749637A,"August 12, 2011",,4041A044,EAST BALTIMORE MIDWAY                    ,-537586184,J,857230,1306,1423600.3752556443,601302.3284867257
749622A,"August 12, 2011",,4041A047,EAST BALTIMORE MIDWAY                    ,-537584840,J,857233,12511,1423632.272829637,601274.4817576408
749514A,"August 12, 2011",,4005 037,EAST BALTIMORE MIDWAY                    ,-537586328,J,855769,11710,1424698.8701058924,599648.7149960548
749489A,"August 12, 2011",,1504 070,BROADWAY EAST                            ,-537583208,J,769773,12195,1430228.5368680507,597860.0404238105
749486A,"August 12, 2011",,1504 071,BROADWAY EAST                            ,-537585560,J,769774,4663,1430241.5506215543,597860.6335984766
749321A,"August 11, 2011",,4005 038,EAST BALTIMORE MIDWAY                    ,-537583688,J,855770,4976,1424698.325487554,599660.7054576427
749219A,"August 11, 2011",,0058 002,MIDTOWN-EDMONDSON                        ,-537583496,J,726351,3295,1412011.3226463944,595045.9827317297
748711A,"August 16, 2011",,0304 043,DRUID HEIGHTS                            ,-537584072,G,739766,9162,1414966.7507906407,598437.9205016494
748524A,"August 12, 2011",,1629 018P,MADISON-EASTEND                          ,-537585512,I,775358,7453,1432281.5222633928,594926.8251616508
748349A,"August 11, 2011",,2320 015,COPPIN HEIGHTS/ASH-CO-EAST               ,-537583880,I,806053,8069,1409801.789663881,597649.5054118037
748142A,"August 11, 2011",,3208 021,MONDAWMIN                                ,-537585128,J,827313,558,1411953.3463843912,598705.5029717237
748038A,"August 10, 2011",,1483 038,BROADWAY EAST                            ,-537585656,J,768788,236,1429387.6924211383,598274.21512039
748027A,"August 11, 2011",,0249 028,HOLLINS MARKET                           ,-537585800,F,736090,2393,1414871.840219304,590010.8595998883
747323A,"August 11, 2011",,0273 094,CARROLLTON RIDGE                         ,-537583256,J,737668,1255,1411691.310163051,589013.0991282314
747250A,"August 8, 2011",,0058 039,MIDTOWN-EDMONDSON                        ,-537583640,J,726388,6124,1411618.1374091357,595275.9373243153
747227A,"August 8, 2011",,1448 017,BROADWAY EAST                            ,-537583592,I,766431,357,1428158.112203136,599121.7196589708
746705A,"August 8, 2011",,4178F054,FOUR BY FOUR                             ,-537583544,I,864041,5524,1432139.4201853871,600651.6303130537
746641A,"August 5, 2011",,1556 013,BIDDLE STREET                            ,-537584648,J,772137,2241,1430520.8502598107,596668.4112453908
746478A,"August 10, 2011",,0014 032,SANDTOWN-WINCHESTER                      ,-537584168,J,724043,1518,1412248.970793143,597542.4675681442
746450A,"August 5, 2011",,0119 074,MIDTOWN-EDMONDSON                        ,-537584888,J,729757,12648,1411924.3359437138,592957.5262787342
746236A,"August 9, 2011",,0768 029,WASHINGTON VILLAGE/PIGTOWN               ,-537584600,F,750870,9251,1415614.6904396415,588172.1585529
74616A,"August 12, 2005",,4039 008,EAST BALTIMORE MIDWAY                    ,-537583448,I,857103,574,1423139.1333959699,600472.2822465599
745752A,"August 4, 2011",,0089 058,HARLEM PARK                              ,-537583400,I,728149,3511,1414517.2687499672,594387.5119358152
745205A,"January 4, 2012",,4079 012,BETTER WAVERLY                           ,-537584696,F,859061,11831,1423956.6609603912,604639.552455306
744844A,"August 2, 2011",,3402 022,PENN NORTH                               ,-537585416,H,833256,11807,1412390.2205106318,599709.3087068945
744716A,"August 17, 2011",,1522 083,BEREA                                    ,-537584552,I,770645,5731,1430957.5413155556,597414.1384284794
744064A,"August 3, 2011",,7055 006,BROOKLYN                                 ,-537583352,H,939198,290,1425183.196565047,573305.6275904775
743670A,"August 2, 2011",,0066 004,SANDTOWN-WINCHESTER                      ,-537584936,I,726866,10961,1415251.9142623097,595221.8974061459
743351A,"August 12, 2011",,1463 080,BROADWAY EAST                            ,-537585464,J,767595,12407,1429683.6583646387,598846.3973749727
743205A,"August 3, 2011",,0193 091,FRANKLIN SQUARE                          ,-537584504,J,733331,1148,1412491.9778530598,591059.942147389
743133A,"August 2, 2011",,1101 087,OLIVER                                   ,-537583736,I,758823,6523,1426117.1218625605,599274.4001278877
743125A,"July 29, 2011",,0227 063A,CARROLLTON RIDGE                         ,-537585368,I,734957,12399,1412583.4665152282,590207.0672127306
743084A,"July 29, 2011",,3347D027,GREENSPRING                              ,-537584792,I,831558,8136,1407779.910833642,608616.6685168147
742978A,"July 29, 2011",,2377D007,MOSHER                                   ,-537583304,I,807932,10481,1408343.2604287267,593138.8946823925
742939A,"August 2, 2011",,1132 023,OLIVER                                   ,-537586136,H,760417,5566,1424791.2350786328,597568.3704034835
742488A,"August 17, 2011",,0314 024,DRUID HEIGHTS                            ,-537585032,I,740163,6747,1415168.687394634,597894.7611548901
742423A,"July 28, 2011",,0275 057,CARROLLTON RIDGE                         ,-537585704,J,737831,12391,1412404.5124768019,589121.3728618175
742194A,"July 28, 2011",,4041 009,EAST BALTIMORE MIDWAY                    ,-537584456,I,857142,7736,1423391.2939808816,601027.95994097
740737A,"July 26, 2011",,2113 062E,GWYNNS FALLS                             ,-537584408,F,798550,12549,1406754.4046825469,586165.8577754796
740642A,"August 4, 2011",,0092 038,HARLEM PARK                              ,-537584744,I,728231,1648,1415807.4400541335,594415.8750680536
740577A,"July 25, 2011",,2351 013,BRIDGEVIEW/GREENLAWN                     ,-537586232,I,806849,9733,1410320.2423671335,594724.047680065
740478A,"July 25, 2011",,2902 003C,FOREST PARK                              ,-537584360,F,819837,3776,1403522.8442165554,604342.8673531413
740300A,"July 22, 2011",,1594 003,MADISON-EASTEND                          ,-537585320,I,773680,2362,1431368.243250057,595585.5354584008
740156A,"July 26, 2011",,2154 013,PENROSE/FAYETTE STREET OUTREACH          ,-537584312,I,799857,11803,1410480.3053672165,591195.2269818038
740067A,"July 25, 2011",,1099A050,OLIVER                                   ,-537584264,J,758570,4788,1424848.4308303893,599147.0326004773
740006A,"July 22, 2011",,1519 026,BROADWAY EAST                            ,-537584216,J,770375,12787,1429924.4072269648,597466.9496745616
739961A,"August 2, 2011",,1503 039,BROADWAY EAST                            ,-537584120,J,769661,309,1429903.413830638,597865.5922499746
739930A,"July 26, 2011",,1121 027,OLIVER                                   ,-537584024,H,759959,8273,1424472.5031045526,598029.9052415639
739669A,"July 22, 2011",,1451 028,BROADWAY EAST                            ,-537583976,J,766772,205,1429230.4850583822,599573.3640968949
738997A,"July 25, 2011",,3211 082,MONDAWMIN                                ,-537585272,J,827662,8026,1411088.1653719693,599202.8251398057
738811A,"July 21, 2011",,2403 023,COPPIN HEIGHTS/ASH-CO-EAST               ,-537586040,I,809209,4255,1407862.3004326373,597588.007175222
738347A,"July 21, 2011",,0108 010,HARLEM PARK                              ,-537585944,J,729081,9490,1412547.676560551,593478.6869818121
738310A,"July 20, 2011",,1478 060,BROADWAY EAST                            ,-537583928,I,768566,9522,1427646.550234139,597932.0507784784
738168A,"August 12, 2011",,1555 048,BIDDLE STREET                            ,-537583832,J,772079,54,1430101.5853503048,596514.9151613116
738074A,"July 19, 2011",,1184 038,JOHNSTON SQUARE                          ,-537583784,H,762576,2381,1424475.1546740532,596068.8287831396
737557A,"July 22, 2011",,4114I077,COLDSTREAM HOMESTEAD MONTEBELLO          ,-537586088,H,860276,2935,1425681.9235859662,602372.2682759762
737294A,"July 29, 2011",,2388A010,WINCHESTER                               ,-537585992,I,808581,222,1407108.5735936314,595744.3966892213
737176A,"July 20, 2011",,0036A015,SANDTOWN-WINCHESTER                      ,-537585848,G,725137,1215,1414408.6570905596,596593.5377074778
737125A,"July 19, 2011",,3326 046,PARK CIRCLE                              ,-537585896,I,830531,733,1408915.26912722,604977.806371972
736935A,"July 15, 2011",,3402 003,PENN NORTH                               ,-537585752,H,833240,4775,1412574.1259827167,599596.8177901506
736577A,"July 19, 2011",,4011B070,EAST BALTIMORE MIDWAY                    ,-537585608,J,856434,5214,1424642.31608513,600270.457190901
736488A,"July 19, 2011",,4011A014,EAST BALTIMORE MIDWAY                    ,-537585224,J,856346,3210,1424744.171524465,600033.8218373954
736424A,"July 14, 2011",,1158 039,OLIVER                                   ,-537585176,H,761550,7573,1424823.5775336325,596797.352916643
736332A,"March 5, 2012",,2377C061,MOSHER                                   ,-537585080,I,807902,4730,1408111.750393048,593347.0960376412
736156A,"July 14, 2011",,2377C062,MOSHER                                   ,-537580184,I,807903,10146,1408097.3750937134,593346.4602121413
736028A,"July 13, 2011",,0373 049,UPTON                                    ,-537580280,Subsidized Rental Market,742003,6720,1416036.0557386428,595085.2185456455
735692A,"July 14, 2011",,1555 031,BIDDLE STREET                            ,-537581192,J,772062,3644,1430115.526267305,596764.8277192265
735661A,"July 14, 2011",,1483 056,BROADWAY EAST                            ,-537582872,J,768806,4504,1429207.370603308,598092.2299200594
735525A,"July 14, 2011",,2170A046,SHIPLEY HILL                             ,-537582680,J,800268,1676,1408825.8549359739,590812.4537972212
735246A,"July 13, 2011",,3347D040,GREENSPRING                              ,-537580904,I,831571,4293,1408082.4705959707,608735.743409887
735007A,"July 26, 2011",,4011B023,EAST BALTIMORE MIDWAY                    ,-537580232,J,856387,61,1424571.763404727,600029.0639728904
734961A,"July 22, 2011",,1594 005,MADISON-EASTEND                          ,-537582344,I,773682,1806,1431397.0978511423,595587.3704284728
73463A,"July 25, 2005",,2472 016,FRANKLINTOWN ROAD                        ,-537581528,J,811488,12327,1406897.14750731,593902.3400058895
733504A,"July 7, 2011",,1132 043,OLIVER                                   ,-537581336,H,760437,11262,1424707.7946287245,597524.6900446415
733412A,"July 14, 2011",,0072 072,SANDTOWN-WINCHESTER                      ,-537580424,J,727158,1200,1412236.7044134736,594854.4594927281
733264A,"July 11, 2011",,1504 042,BROADWAY EAST                            ,-537582584,J,769745,10998,1430052.8141223937,597676.45089598
733153A,"July 7, 2011",,4011B012,EAST BALTIMORE MIDWAY                    ,-537580760,J,856376,10337,1424456.6852228045,599899.258130148
732709A,"July 11, 2011",,2406 097,NORTHWEST COMMUNITY ACTION               ,-537581288,I,809410,9421,1407311.323188141,597746.1807433963
73200A,"July 21, 2005",,0308 021,DRUID HEIGHTS                            ,-537582728,I,739906,2636,1414775.1973679662,598036.4245854765
731872A,"July 8, 2011",,0005 032,SANDTOWN-WINCHESTER                      ,-537580520,J,723483,5528,1412870.849798724,598380.9921378046
731379A,"July 1, 2011",,4002 034,EAST BALTIMORE MIDWAY                    ,-537583112,J,855665,8051,1423566.7342468053,599578.3647430539
730338A,"June 30, 2011",,0833 005,CARROLL - CAMDEN INDUSTRIAL AREA         ,-537580472,E,752253,12465,1417409.0372446328,585953.239106223
729614A,"June 28, 2011",,4164A086,DARLEY PARK                              ,-537580376,J,862885,6034,1427209.8326036334,600525.1584531367
729604A,"June 28, 2011",,4164A084,DARLEY PARK                              ,-537582824,J,862883,7493,1427182.0905331373,600523.9153454006
729274A,"June 28, 2011",,1484 066,BROADWAY EAST                            ,-537580136,J,768901,10928,1429704.5530078858,598113.7554675639
728528A,"June 24, 2011",,0059 042,SANDTOWN-WINCHESTER                      ,-537581576,J,726487,5015,1412134.4093424678,595163.1212769747
728437A,"June 24, 2011",,0013A015,SANDTOWN-WINCHESTER                      ,-537582632,J,723970,10165,1412096.8802180588,597690.3317737281
728419A,"June 24, 2011",,1477 055,BROADWAY EAST                            ,-537582536,I,768442,1406,1427492.7086783051,597977.187827304
728378A,"June 24, 2011",,1468 004,BROADWAY EAST                            ,-537582104,I,767843,497,1427983.1283011436,598348.9777661413
728311A,"June 28, 2011",,0273 062,CARROLLTON RIDGE                         ,-537580328,J,737636,8488,1411602.5045663863,589198.1778263152
727987A,"June 27, 2011",,1448 047,BROADWAY EAST                            ,-537582248,I,766461,12147,1428084.2222590595,599500.0801227242
727843A,"June 23, 2011",,0013A016,SANDTOWN-WINCHESTER                      ,-537581720,J,723971,2482,1412096.262437135,597703.4108158052
727665A,"June 24, 2011",,4123 069,COLDSTREAM HOMESTEAD MONTEBELLO          ,-537583160,J,860461,3987,1427395.1527710557,602290.0578104705
727489A,"June 24, 2011",,3213 017,MONDAWMIN                                ,-537582488,I,827784,12696,1410253.548602894,598960.4630917311
727265A,"June 24, 2011",,0396 036,UPTON                                    ,-537583064,H,742825,505,1417041.9474276304,595714.1323140562
727077A,"June 22, 2011",,0119 053,MIDTOWN-EDMONDSON                        ,-537582440,J,729736,2620,1411875.429545477,593081.7806233913
727062A,"June 23, 2011",,1448 037,BROADWAY EAST                            ,-537583016,I,766451,11426,1428156.624673307,599419.7141417265
727008A,"June 22, 2011",,0118 078,MIDTOWN-EDMONDSON                        ,-537580952,J,729641,2443,1411519.8889179677,592964.0879453868
726675A,"July 13, 2011",,1482 026,BROADWAY EAST                            ,-537582968,J,768734,10557,1429030.7167571336,598136.0894123912
726501A,"September 14, 2011",,2169 064,SHIPLEY HILL                             ,-537582920,J,800176,7758,1408755.8065196425,590611.1336618066
72639A,"July 20, 2005",,0021 052,SANDTOWN-WINCHESTER                      ,-537582296,J,724474,6036,1412541.2953397185,597162.2980528921
724290A,"June 16, 2011",,0071 015,MIDTOWN-EDMONDSON                        ,-537581672,J,726971,12089,1411789.1629857272,594640.8687125593
724270A,"June 17, 2011",,1536 089,BROADWAY EAST                            ,-537582776,J,771227,12021,1429688.6560580581,597131.9414863139
724268A,"June 21, 2011",,1536 083,BROADWAY EAST                            ,-537582392,J,771221,8579,1429692.8125458062,597048.2369293123
724142A,"June 27, 2011",,1608 062,MILTON-MONTFORD                          ,-537582200,I,774197,8035,1430358.4371988028,595142.5619348884
724135A,"June 16, 2011",,4017 021,EAST BALTIMORE MIDWAY                    ,-537581144,G,856631,10310,1423371.8688228875,599851.8874899745
724126A,"June 16, 2011",,0272 088,CARROLLTON RIDGE                         ,-537582152,J,737563,2925,1411209.3393422216,588987.8249005675
723383A,"September 1, 2011",,2145B043,MILLHILL                                 ,-537581960,J,799620,7236,1409846.6448891312,588018.876707226
723092A,"June 24, 2011",,2377C065,MOSHER                                   ,-537582056,I,807906,12042,1408055.8640218824,593344.6308194697
722808A,"June 15, 2011",,4544C046,ARLINGTON                                ,-537580808,I,875571,5561,1402742.1144787967,611973.2549794763
722490A,"June 14, 2011",,0396 007,UPTON                                    ,-537580568,H,742795,5429,1417249.3833644688,595885.065043062
722043A,"June 14, 2011",,2377C067,MOSHER                                   ,-537582008,I,807908,2039,1408027.454957977,593343.3703233153
722002A,"June 17, 2011",,2154 003C,PENROSE/FAYETTE STREET OUTREACH          ,-537581480,I,799844,9258,1410201.3233136386,591250.7711620629
