Neighborhood,2019MedianIncome,MedianIncomeChangeFrom2011,2019PercentPublicAssistance
Oldtown,15724,2733,0.127
Oliver,36150,10636,0.077
Orangeville,51339,17991,
Orangeville Industrial Area,43577,18810,
Orchard Ridge,31804,8994,0.063
Original Northwood,91445,38570,0.019
Otterbein,94056,35728,
Overlea,68162,17943,
Panway/Braddish Avenue,45188,12269,0.017
Park Circle,24891,-4938,0.105
Parklane,39297,-2785,0.132
Parkside,40948,3743,0.019
Parkview/Woodbrook,29940,5534,0.066
Patterson Park,124225,60686,
Patterson Park Neighborhood,75526,24797,0.058
Patterson Place,71757,18479,0.029
Pen Lucy,34030,5629,0.044
Penn North,29361,6529,0.043
Penn-Fallsway,13197,-973,0.101
Penrose/Fayette Street Outreach,30728,-1072,0.108
Perkins Homes,18849,10602,0.244
Perring Loch,63890,7202,0.03
Pimlico Good Neighbors,72554,14843,0.8
Pleasant View Gardens,14740,-130,0.07
Poppleton,19921,4689,0.104
Port Covington,106477,2.9,
Pulaski Industrial Area,61621,25019,0.027
Purnell,1,-54705,
Radnor-Winston,49958,10594,0.02
Ramblewood,64351,15787,
Reisterstown Station,37597,-4930,0.088
Remington,80034,33066,
Reservoir Hill,44465,8067,0.051
Richnor Springs,58233,39516,
Ridgely's Delight,69485,-9253,
Riverside,128124,34002,0.9
Rognel Heights,65994,20132,0.065
Roland Park,122321,14335,0.01
Rosebank,76540,9464,0.095
Rosemont,35746,3506,0.131
Rosemont East,64196,10778,
Rosemont Homeowners/Tenants,21923,-3974,0.081
Sabina-Mattfeldt,120500,8982,
Saint Agnes,38509,10621,0.022
Saint Helena,32197,-7366,0.073
Saint Josephs,49113,4486,0.052
Saint Paul,42159,958,0.054
Sandtown-Winchester,29094,3270,0.084
Seton Business Park,22991,-15.45,
Seton Hill,31000,-361,0.048
Sharp-Leadenhall,82344,19323,0.04
Shipley Hill,32974,1984,0.113
South Baltimore,103591,19743,0.8
South Clifton Park,40032,14458,0.145
Spring Garden Industrial Area,100738,-4262,0.018
Stadium Area,72451,12342,
Stonewood-Pentwood-Winston,52038,-1322,
Taylor Heights,75114,25923,
Ten Hills,61646,7392,0.6
The Orchards,167464,18047,
Towanda-Grantley,38660,7994,0.054
Tremont,31141,20397,
Tuscany-Canterbury,67406,15115,
Union Square,25391,-34241,0.014
University Of Maryland,43417,27718,0.091
Uplands,49420,5003,0.091
Upper Fells Point,96731,19817,0.021
Upton,28677,9609,0.072
Villages Of Homeland,35724,8432,0.146
Violetville,40508,-1592,0.07
Wakefield,31024,8746,0.08
Walbrook,41290,3344,0.187
Waltherson,70570,17241,0.018
Washington Hill,50205,11230,0.016
Washington Village/Pigtown,58496,10515,0.079
Waverly,45919,10878,0.109
West Arlington,53214,17667,0.077
West Forest Park,52244,23022,0.032
West Hills,55948,9629,0.018
Westfield,77978,19482,0.8
Westgate,61646,7392,0.053
Westport,67750,32287,0.067
Wilhelm Park,43286,-13754,
Wilson Park,44972,-818,0.155
Winchester,31950,8566,0.119
Windsor Hills,60514,26508,0.02
Winston-Govans,32674,-9701,0.123
Woodberry,92885,38623,0.048
Woodbourne Heights,45988,6143,0.033
Woodbourne-McCabe,39063,87495,0.075
Woodmere,29706,-1823,0.107
Wrenlane,49408,-11118,0.158
Wyman Park,102192,31079,0.9
Wyndhurst,247150,106534,0.013
Yale Heights,44688,12380,0.013
York-Homeland,33170,-1825,0.147
